settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2025-11-21,1,1,2025-11-21T00:12:00Z,2025-11-21T00:13:00Z,0,-278,DINO-1,T_DINO-1,146095,2025-11-21T00:07:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:11:00Z,2025-11-21T00:41:00Z,185,185,WBURB-1,T_WBURB-1,152408,2025-11-20T23:32:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:11:00Z,2025-11-21T00:26:00Z,350,350,SHOS-1,E_SHOS-1,165864,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:11:00Z,2025-11-21T00:13:00Z,185,158,WBURB-1,T_WBURB-1,152406,2025-11-20T23:02:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:10:00Z,2025-11-21T00:13:00Z,0,0,DINO-6,T_DINO-6,176059,2025-11-21T00:08:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:09:00Z,2025-11-21T00:39:00Z,600,600,MEDP-1,T_MEDP-1,135444,2025-11-20T23:45:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:09:00Z,2025-11-21T00:15:00Z,600,710,MEDP-1,T_MEDP-1,135443,2025-11-20T23:42:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:09:00Z,2025-11-21T00:12:00Z,0,0,DINO-1,T_DINO-1,146095,2025-11-21T00:07:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:09:00Z,2025-11-21T00:10:00Z,-278,0,DINO-6,T_DINO-6,176059,2025-11-21T00:08:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:08:00Z,2025-11-21T00:23:00Z,350,350,GRAI-6,T_GRAI-6,153841,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:08:00Z,2025-11-21T00:09:00Z,-278,0,DINO-1,T_DINO-1,146095,2025-11-21T00:07:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:07:00Z,2025-11-21T00:22:00Z,750,750,LAGA-1,T_LAGA-1,161438,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:07:00Z,2025-11-21T00:12:00Z,600,798,SHBA-1,T_SHBA-1,235051,2025-11-20T23:35:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:06:00Z,2025-11-21T00:11:00Z,500,625,ROCK-1,T_ROCK-1,222264,2025-11-20T23:42:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:03:00Z,2025-11-21T00:13:00Z,566,566,SHBA-1,T_SHBA-1,235053,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:03:00Z,2025-11-21T00:07:00Z,842,750,LAGA-1,T_LAGA-1,161438,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:02:00Z,2025-11-21T00:11:00Z,447,350,SHOS-1,E_SHOS-1,165864,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:02:00Z,2025-11-21T00:08:00Z,418,350,GRAI-6,T_GRAI-6,153841,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:02:00Z,2025-11-21T00:03:00Z,844,842,LAGA-1,T_LAGA-1,161438,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:02:00Z,2025-11-21T00:03:00Z,600,566,SHBA-1,T_SHBA-1,235053,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:01:00Z,2025-11-21T00:21:00Z,180,180,SHBA-2,T_SHBA-2,198728,2025-11-20T23:53:00Z,False,False,False,False
2025-11-20,48,2,2025-11-20T23:59:00Z,2025-11-21T00:30:00Z,220,220,SCCL-2,T_SCCL-2,129909,2025-11-20T23:00:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:59:00Z,2025-11-21T00:02:00Z,500,600,SHBA-1,T_SHBA-1,235052,2025-11-20T23:44:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:57:00Z,2025-11-21T00:12:00Z,420,420,ROCK-1,T_ROCK-1,222265,2025-11-20T23:52:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:55:00Z,2025-11-21T00:01:00Z,255,180,SHBA-2,T_SHBA-2,198728,2025-11-20T23:53:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:52:00Z,2025-11-21T00:12:00Z,325,325,GRAI-8,T_GRAI-8,163439,2025-11-20T23:42:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:51:00Z,2025-11-21T00:06:00Z,500,500,ROCK-1,T_ROCK-1,222264,2025-11-20T23:42:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:49:00Z,2025-11-21T00:09:00Z,600,600,MEDP-1,T_MEDP-1,135443,2025-11-20T23:42:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:48:00Z,2025-11-21T00:18:00Z,300,300,GRAI-7,T_GRAI-7,150133,2025-11-20T23:29:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:46:00Z,2025-11-21T00:16:00Z,625,625,ROCK-1,T_ROCK-1,222263,2025-11-20T23:38:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:41:00Z,2025-11-21T00:11:00Z,185,185,WBURB-1,T_WBURB-1,152406,2025-11-20T23:02:00Z,False,False,False,False
2025-11-20,48,1,2025-11-20T23:37:00Z,2025-11-21T00:07:00Z,600,600,SHBA-1,T_SHBA-1,235051,2025-11-20T23:35:00Z,False,False,False,False
2025-11-21,2,3,2025-11-21T00:59:00Z,2025-11-21T01:06:00Z,335,418,GRAI-6,T_GRAI-6,153844,2025-11-21T00:47:00Z,False,False,False,False
2025-11-21,2,3,2025-11-21T00:59:00Z,2025-11-21T01:00:00Z,0,-5,BROFB-1,E_BROFB-1,13160,2025-11-21T00:54:00Z,False,False,False,False
2025-11-21,2,3,2025-11-21T00:57:00Z,2025-11-21T01:01:00Z,300,352,CNQPS-3,T_CNQPS-3,104886,2025-11-21T00:45:00Z,False,False,False,False
2025-11-21,2,3,2025-11-21T00:56:00Z,2025-11-21T01:01:00Z,776,650,ROCK-1,T_ROCK-1,222268,2025-11-21T00:50:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:56:00Z,2025-11-21T00:58:00Z,0,0,BROFB-1,E_BROFB-1,13159,2025-11-21T00:40:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:55:00Z,2025-11-21T00:56:00Z,1,0,BROFB-1,E_BROFB-1,13159,2025-11-21T00:40:00Z,False,False,False,False
2025-11-21,2,3,2025-11-21T00:54:00Z,2025-11-21T01:04:00Z,680,680,KEAD-1,T_KEAD-1,152506,2025-11-21T00:48:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:54:00Z,2025-11-21T00:55:00Z,9,1,BROFB-1,E_BROFB-1,13158,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:54:00Z,2025-11-21T00:55:00Z,30,0,WBURB-1,T_WBURB-1,152408,2025-11-20T23:32:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:53:00Z,2025-11-21T00:54:00Z,9,9,BROFB-1,E_BROFB-1,13158,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:53:00Z,2025-11-21T00:54:00Z,10,2,FFSE01,2__FFSEN005,29965,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:53:00Z,2025-11-21T00:54:00Z,20,0,POTES-1,E_POTES-1,31669,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:54:00Z,241,255,SHBA-2,T_SHBA-2,198730,2025-11-21T00:45:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:53:00Z,10,1,BROFB-1,E_BROFB-1,13157,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:53:00Z,10,9,BROFB-1,E_BROFB-1,13158,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:53:00Z,14,13,FFSE02,2__FFSEN007,23863,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:53:00Z,30,0,NTRVB-1,T_NTRVB-1,26977,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:53:00Z,-6,-21,SKELB-1,E_SKELB-1,47718,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:52:00Z,2025-11-21T00:53:00Z,16,0,THMRB-1,E_THMRB-1,47383,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:51:00Z,2025-11-21T00:57:00Z,300,300,CNQPS-3,T_CNQPS-3,104886,2025-11-21T00:45:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:51:00Z,2025-11-21T00:52:00Z,7,0,BUXTB-1,2__GCMRO001,36719,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:51:00Z,2025-11-21T00:52:00Z,18,0,SWGTB-1,2__MCMRO003,23041,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:50:00Z,2025-11-21T00:54:00Z,736,680,KEAD-1,T_KEAD-1,152506,2025-11-21T00:48:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:50:00Z,2025-11-21T00:52:00Z,30,30,NTRVB-1,T_NTRVB-1,26977,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:50:00Z,2025-11-21T00:51:00Z,4,0,AG-CBS05L,V__LCEND005,33018,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:50:00Z,2025-11-21T00:51:00Z,12,0,CRSSB-1,E_CRSSB-1,46860,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:50:00Z,2025-11-21T00:51:00Z,23,0,TYLNB-1,T_TYLNB-1,23618,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:50:00Z,2025-11-21T00:51:00Z,5,0,WTRSB-1,2__GCMRO002,30580,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:49:00Z,2025-11-21T00:59:00Z,335,335,GRAI-6,T_GRAI-6,153844,2025-11-21T00:47:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:49:00Z,2025-11-21T00:50:00Z,1,0,COWB-1,T_COWB-1,45753,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:49:00Z,2025-11-21T00:50:00Z,57,0,NTRVB-1,T_NTRVB-1,26976,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:49:00Z,2025-11-21T00:50:00Z,57,30,NTRVB-1,T_NTRVB-1,26977,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,3,2025-11-21T00:48:00Z,2025-11-21T01:18:00Z,300,300,GRAI-7,T_GRAI-7,150135,2025-11-21T00:17:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:59:00Z,300,430,GRAI-7,T_GRAI-7,150134,2025-11-20T23:44:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:53:00Z,20,20,POTES-1,E_POTES-1,31669,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:52:00Z,10,10,BROFB-1,E_BROFB-1,13157,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:52:00Z,14,14,FFSE02,2__FFSEN007,23863,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:51:00Z,18,18,SWGTB-1,2__MCMRO003,23041,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:50:00Z,4,4,AG-CBS05L,V__LCEND005,33018,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:50:00Z,12,12,CRSSB-1,E_CRSSB-1,46860,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,4,0,AG-CBS05L,V__LCEND005,33017,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,22,0,BREDB-1,T_BREDB-1,3330,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,10,1,BROFB-1,E_BROFB-1,13156,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,12,0,CRSSB-1,E_CRSSB-1,46859,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,14,13,FFSE02,2__FFSEN007,23862,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,20,0,POTES-1,E_POTES-1,31668,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:48:00Z,2025-11-21T00:49:00Z,18,0,SWGTB-1,2__MCMRO003,23040,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:52:00Z,241,241,SHBA-2,T_SHBA-2,198730,2025-11-21T00:45:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:51:00Z,352,300,CNQPS-3,T_CNQPS-3,104886,2025-11-21T00:45:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:48:00Z,1,0,AG-EXE00E,V__EEXRG001,3199,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:48:00Z,8,0,BARNB-1,E_BARNB-1,39390,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:48:00Z,10,0,BUSTB-1,T_BUSTB-1,42188,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:48:00Z,1,0,COVNB-1,T_COVNB-1,42801,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:48:00Z,0,-277,DINO-1,T_DINO-1,146099,2025-11-21T00:42:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:47:00Z,2025-11-21T00:48:00Z,10,0,SUNDB-1,T_SUNDB-1,31879,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:46:00Z,2025-11-21T00:56:00Z,300,418,GRAI-6,T_GRAI-6,153843,2025-11-21T00:29:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:46:00Z,2025-11-21T00:48:00Z,22,22,BREDB-1,T_BREDB-1,3330,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:46:00Z,2025-11-21T00:47:00Z,4,0,HSSE01,2__HIMPO002,36263,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:53:00Z,10,10,FFSE01,2__FFSEN005,29965,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:51:00Z,7,7,BUXTB-1,2__GCMRO001,36719,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:50:00Z,23,23,TYLNB-1,T_TYLNB-1,23618,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:49:00Z,1,1,COWB-1,T_COWB-1,45753,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:48:00Z,14,14,FFSE02,2__FFSEN007,23862,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:48:00Z,20,20,POTES-1,E_POTES-1,31668,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:47:00Z,1,1,AG-EXE00E,V__EEXRG001,3199,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:47:00Z,8,8,BARNB-1,E_BARNB-1,39390,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:47:00Z,10,10,BUSTB-1,T_BUSTB-1,42188,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:47:00Z,1,1,COVNB-1,T_COVNB-1,42801,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:47:00Z,10,10,SUNDB-1,T_SUNDB-1,31879,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:46:00Z,0,-1,AG-HEDF02,2__HLOND002,12951,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:46:00Z,49,0,BREDB-1,T_BREDB-1,3329,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:45:00Z,2025-11-21T00:46:00Z,49,22,BREDB-1,T_BREDB-1,3330,2025-11-21T00:39:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:52:00Z,-6,-6,SKELB-1,E_SKELB-1,47718,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:52:00Z,16,16,THMRB-1,E_THMRB-1,47383,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:50:00Z,5,5,WTRSB-1,2__GCMRO002,30580,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:49:00Z,57,57,NTRVB-1,T_NTRVB-1,26976,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:49:00Z,650,776,ROCK-1,T_ROCK-1,222266,2025-11-21T00:27:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:48:00Z,200,255,SHBA-2,T_SHBA-2,198729,2025-11-21T00:30:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:47:00Z,0,0,DINO-1,T_DINO-1,146099,2025-11-21T00:42:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:46:00Z,4,4,HSSE01,2__HIMPO002,36263,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:46:00Z,750,799,SHBA-1,T_SHBA-1,235054,2025-11-21T00:30:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,0,1,AG-EXE00E,V__EEXRG001,3199,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,0,-1,AG-HEDF02,2__HLOND002,12950,2025-11-21T00:37:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,0,0,AG-HEDF02,2__HLOND002,12951,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,0,8,BARNB-1,E_BARNB-1,39390,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,49,0,BREDB-1,T_BREDB-1,3328,2025-11-21T00:37:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,49,49,BREDB-1,T_BREDB-1,3329,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,0,10,BUSTB-1,T_BUSTB-1,42188,2025-11-21T00:38:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,6,0,BUXTB-1,2__GCMRO001,36718,2025-11-21T00:36:00Z,False,False,False,False
2025-11-21,2,2,2025-11-21T00:44:00Z,2025-11-21T00:45:00Z,6,7,BUXTB-1,2__GCMRO001,36719,2025-11-21T00:38:00Z,False,False,False,False
