period,buy_volume,sell_volume
23:00 - 00:00,12372.7,10973.0
00:00 - 01:00,12379.8,10980.1
01:00 - 02:00,12292.2,10892.5
02:00 - 03:00,12314.6,10914.9
03:00 - 04:00,12561.5,11161.8
04:00 - 05:00,12242.2,10842.5
05:00 - 06:00,12643.4,11243.7
06:00 - 07:00,14322.1,13032.4
07:00 - 08:00,15258.5,13858.8
08:00 - 09:00,16088.3,14688.6
09:00 - 10:00,16188.8,14789.1
10:00 - 11:00,15481.0,14081.3
11:00 - 12:00,15251.4,13851.7
12:00 - 13:00,15412.9,14013.2
13:00 - 14:00,15138.8,13739.1
14:00 - 15:00,15076.3,13676.6
15:00 - 16:00,14042.8,12643.1
16:00 - 17:00,15380.1,13980.4
17:00 - 18:00,16938.2,15538.5
18:00 - 19:00,17539.8,16140.1
19:00 - 20:00,18078.1,16678.4
20:00 - 21:00,15999.5,14599.8
21:00 - 22:00,14411.2,13011.5
22:00 - 23:00,13677.9,12278.2
