period,buy_volume,sell_volume
23:00 - 00:00,14177.5,13120.5
00:00 - 01:00,13786.8,12872.5
01:00 - 02:00,13494.1,12647.9
02:00 - 03:00,12854.7,12457.7
03:00 - 04:00,12380.0,12434.0
04:00 - 05:00,12215.5,12734.5
05:00 - 06:00,13492.6,14476.6
06:00 - 07:00,16271.8,17720.8
07:00 - 08:00,15381.9,16830.9
08:00 - 09:00,15955.8,17404.8
09:00 - 10:00,15785.9,17234.9
10:00 - 11:00,16421.9,17870.9
11:00 - 12:00,16604.9,18053.9
12:00 - 13:00,16110.7,17559.7
13:00 - 14:00,16072.9,17521.9
14:00 - 15:00,15936.8,17385.8
15:00 - 16:00,15566.0,17015.0
16:00 - 17:00,16925.5,18374.5
17:00 - 18:00,17646.2,18663.0
18:00 - 19:00,17490.2,18042.0
19:00 - 20:00,18818.7,18905.5
20:00 - 21:00,17052.5,16687.1
21:00 - 22:00,15614.1,14799.5
22:00 - 23:00,14424.9,13161.1
