period,buy_volume,sell_volume
23:00 - 00:00,13904.6,12550.3
00:00 - 01:00,13712.0,12312.3
01:00 - 02:00,14196.5,12796.8
02:00 - 03:00,13807.9,12572.2
03:00 - 04:00,12970.8,12093.5
04:00 - 05:00,12426.6,11281.8
05:00 - 06:00,12683.4,11763.6
06:00 - 07:00,16346.4,15875.8
07:00 - 08:00,18926.6,18457.6
08:00 - 09:00,19696.9,19107.2
09:00 - 10:00,20457.5,20019.1
10:00 - 11:00,20103.6,20103.6
11:00 - 12:00,19140.3,19140.3
12:00 - 13:00,19146.3,19203.4
13:00 - 14:00,19368.8,19368.8
14:00 - 15:00,19542.9,19631.6
15:00 - 16:00,19372.5,19315.3
16:00 - 17:00,21239.7,20733.3
17:00 - 18:00,21639.5,20684.0
18:00 - 19:00,21742.0,20499.4
19:00 - 20:00,21781.9,20382.2
20:00 - 21:00,19543.3,18143.6
21:00 - 22:00,16680.3,15280.6
22:00 - 23:00,15897.0,14521.6
