period,buy_volume,sell_volume
23:00 - 00:00,11080.3,11536.0
00:00 - 01:00,10423.0,11343.7
01:00 - 02:00,10395.6,11430.6
02:00 - 03:00,10611.8,11646.8
03:00 - 04:00,10856.8,11891.8
04:00 - 05:00,10928.1,11777.6
05:00 - 06:00,10531.8,10916.3
06:00 - 07:00,11069.5,10991.7
07:00 - 08:00,12707.0,12180.0
08:00 - 09:00,13216.1,12239.9
09:00 - 10:00,13985.8,12586.1
10:00 - 11:00,13736.1,12336.4
11:00 - 12:00,13901.9,12502.2
12:00 - 13:00,14322.9,12923.2
13:00 - 14:00,14663.3,13263.6
14:00 - 15:00,15345.6,13945.9
15:00 - 16:00,17342.3,15942.6
16:00 - 17:00,18676.2,17276.5
17:00 - 18:00,20584.5,19184.8
18:00 - 19:00,20174.0,18774.3
19:00 - 20:00,18666.5,17266.8
20:00 - 21:00,17410.3,16010.6
21:00 - 22:00,14738.3,13338.6
22:00 - 23:00,13838.5,12438.8
