period,buy_volume,sell_volume
23:00 - 00:00,13591.3,12507.9
00:00 - 01:00,13308.6,12674.4
01:00 - 02:00,13036.3,12851.3
02:00 - 03:00,12949.7,13173.1
03:00 - 04:00,13218.3,13845.7
04:00 - 05:00,13209.9,13620.9
05:00 - 06:00,13526.1,13473.9
06:00 - 07:00,14601.4,14100.0
07:00 - 08:00,17285.2,16334.7
08:00 - 09:00,16675.5,15275.8
09:00 - 10:00,15940.9,14541.2
10:00 - 11:00,15300.0,13900.3
11:00 - 12:00,15163.3,13763.6
12:00 - 13:00,14703.5,13303.8
13:00 - 14:00,14869.1,13469.4
14:00 - 15:00,15159.6,13759.9
15:00 - 16:00,15796.6,14396.9
16:00 - 17:00,17314.9,15915.2
17:00 - 18:00,18151.4,16751.7
18:00 - 19:00,17544.3,16144.6
19:00 - 20:00,17841.6,16441.9
20:00 - 21:00,15917.6,14517.9
21:00 - 22:00,13733.5,12333.8
22:00 - 23:00,12728.5,11328.8
