period,buy_volume,sell_volume
23:00 - 00:00,14594.8,13195.1
00:00 - 01:00,14632.0,13232.3
01:00 - 02:00,13388.0,11988.3
02:00 - 03:00,12719.9,11320.2
03:00 - 04:00,12713.7,11651.9
04:00 - 05:00,12870.4,11870.5
05:00 - 06:00,12608.3,11642.8
06:00 - 07:00,12960.3,12202.1
07:00 - 08:00,13371.3,12715.4
08:00 - 09:00,14230.1,13279.6
09:00 - 10:00,15326.1,13926.4
10:00 - 11:00,16329.9,14930.2
11:00 - 12:00,16650.6,15250.9
12:00 - 13:00,17057.4,15657.7
13:00 - 14:00,17196.5,15796.8
14:00 - 15:00,17843.0,16443.3
15:00 - 16:00,17733.9,16334.2
16:00 - 17:00,19649.7,18250.0
17:00 - 18:00,20314.3,18914.6
18:00 - 19:00,19022.3,17622.6
19:00 - 20:00,17598.9,16199.2
20:00 - 21:00,15604.7,14205.0
21:00 - 22:00,13914.3,12514.6
22:00 - 23:00,12703.2,11752.7
