period,buy_volume,sell_volume
23:00 - 00:00,13072.8,11673.1
00:00 - 01:00,12351.6,10951.9
01:00 - 02:00,12610.6,11210.9
02:00 - 03:00,12277.2,10877.5
03:00 - 04:00,12026.8,10627.1
04:00 - 05:00,12187.9,10788.2
05:00 - 06:00,11862.9,10463.2
06:00 - 07:00,12742.4,11342.7
07:00 - 08:00,10811.0,9411.3
08:00 - 09:00,11876.3,10476.6
09:00 - 10:00,12353.2,10953.5
10:00 - 11:00,11947.5,10547.8
11:00 - 12:00,11705.1,10305.4
12:00 - 13:00,11840.5,10440.8
13:00 - 14:00,11518.3,10118.6
14:00 - 15:00,11663.2,10263.5
15:00 - 16:00,12316.2,10916.5
16:00 - 17:00,13325.3,11925.6
17:00 - 18:00,15289.4,13889.7
18:00 - 19:00,15933.6,14533.9
19:00 - 20:00,15703.8,14304.1
20:00 - 21:00,14869.4,13469.7
21:00 - 22:00,13920.8,12521.1
22:00 - 23:00,12808.3,11408.6
