period,buy_volume,sell_volume
23:00 - 00:00,11749.1,10349.4
00:00 - 01:00,10779.2,9379.5
01:00 - 02:00,10608.6,9208.9
02:00 - 03:00,10597.7,9198.0
03:00 - 04:00,10858.4,9458.7
04:00 - 05:00,11019.4,9619.7
05:00 - 06:00,12182.6,10782.9
06:00 - 07:00,14421.4,13021.7
07:00 - 08:00,14727.0,13327.3
08:00 - 09:00,14981.3,13581.6
09:00 - 10:00,14825.6,13425.9
10:00 - 11:00,15616.4,14216.7
11:00 - 12:00,15034.9,13635.2
12:00 - 13:00,15049.5,13649.8
13:00 - 14:00,14740.5,13340.8
14:00 - 15:00,14206.1,12806.4
15:00 - 16:00,15099.1,13699.4
16:00 - 17:00,15020.9,13621.2
17:00 - 18:00,16423.0,15023.3
18:00 - 19:00,17702.8,16303.1
19:00 - 20:00,18389.5,16989.8
20:00 - 21:00,17201.9,15802.2
21:00 - 22:00,15706.3,14306.6
22:00 - 23:00,13876.2,12476.5
