period,buy_volume,sell_volume
23:00 - 00:00,10831.2,11188.3
00:00 - 01:00,10248.5,11070.6
01:00 - 02:00,10246.3,11070.1
02:00 - 03:00,10000.9,11035.9
03:00 - 04:00,10354.4,11389.4
04:00 - 05:00,10484.5,11519.5
05:00 - 06:00,10132.1,11167.1
06:00 - 07:00,10219.6,10981.3
07:00 - 08:00,11461.5,11819.5
08:00 - 09:00,11449.5,11749.2
09:00 - 10:00,12337.3,12177.6
10:00 - 11:00,12880.7,12271.8
11:00 - 12:00,13854.6,12796.5
12:00 - 13:00,14178.8,12779.1
13:00 - 14:00,14285.9,12886.2
14:00 - 15:00,14629.3,13229.6
15:00 - 16:00,14749.5,13349.8
16:00 - 17:00,15351.8,13952.1
17:00 - 18:00,16294.1,14894.4
18:00 - 19:00,14940.5,13540.8
19:00 - 20:00,14609.6,13253.1
20:00 - 21:00,13187.7,12280.4
21:00 - 22:00,11391.4,10933.2
22:00 - 23:00,11166.5,11157.5
