period,buy_volume,sell_volume
23:00 - 00:00,13648.5,12248.8
00:00 - 01:00,13613.7,12214.0
01:00 - 02:00,13670.9,12271.2
02:00 - 03:00,13642.5,12242.8
03:00 - 04:00,13849.8,12450.1
04:00 - 05:00,14006.5,12606.8
05:00 - 06:00,14032.7,12633.0
06:00 - 07:00,16015.5,14615.8
07:00 - 08:00,15211.5,13811.8
08:00 - 09:00,15707.6,14307.9
09:00 - 10:00,15871.5,14471.8
10:00 - 11:00,15442.6,14042.9
11:00 - 12:00,15673.4,14273.7
12:00 - 13:00,15468.4,14068.7
13:00 - 14:00,15142.3,13742.6
14:00 - 15:00,15120.4,13720.7
15:00 - 16:00,17220.0,15820.3
16:00 - 17:00,17916.8,16517.1
17:00 - 18:00,19118.9,17719.2
18:00 - 19:00,18567.0,17167.3
19:00 - 20:00,18664.5,17264.8
20:00 - 21:00,16380.4,14980.7
21:00 - 22:00,14985.6,13585.9
22:00 - 23:00,14816.8,13417.1
