period,buy_volume,sell_volume
23:00 - 00:00,13337.5,11937.8
00:00 - 01:00,13018.1,11618.4
01:00 - 02:00,12450.8,11051.1
02:00 - 03:00,12154.8,10755.1
03:00 - 04:00,12294.4,10894.7
04:00 - 05:00,12394.2,10994.5
05:00 - 06:00,13112.9,11713.2
06:00 - 07:00,15118.8,13719.1
07:00 - 08:00,14976.0,13576.3
08:00 - 09:00,15367.3,13967.6
09:00 - 10:00,15575.2,14175.5
10:00 - 11:00,15396.5,13996.8
11:00 - 12:00,15028.4,13628.7
12:00 - 13:00,14710.1,13310.4
13:00 - 14:00,14556.0,13156.3
14:00 - 15:00,14492.2,13092.5
15:00 - 16:00,14997.2,13597.5
16:00 - 17:00,15699.8,14300.1
17:00 - 18:00,17602.3,16202.6
18:00 - 19:00,18415.0,17015.3
19:00 - 20:00,18541.1,17141.4
20:00 - 21:00,16369.7,14970.0
21:00 - 22:00,14471.9,13072.2
22:00 - 23:00,13191.3,11791.6
