period,buy_volume,sell_volume
23:00 - 00:00,12691.7,11292.0
00:00 - 01:00,12942.5,11542.8
01:00 - 02:00,12659.0,11259.3
02:00 - 03:00,12904.7,11505.0
03:00 - 04:00,12710.0,11310.3
04:00 - 05:00,12751.2,11351.5
05:00 - 06:00,12140.8,10741.1
06:00 - 07:00,13097.6,11697.9
07:00 - 08:00,12671.3,11271.6
08:00 - 09:00,13694.4,12294.7
09:00 - 10:00,14085.1,12685.4
10:00 - 11:00,13657.5,12257.8
11:00 - 12:00,13529.0,12129.3
12:00 - 13:00,13411.7,12012.0
13:00 - 14:00,13462.0,12062.3
14:00 - 15:00,13757.4,12357.7
15:00 - 16:00,16107.4,14707.7
16:00 - 17:00,17337.6,15937.9
17:00 - 18:00,18715.3,17315.6
18:00 - 19:00,17995.2,16595.5
19:00 - 20:00,17476.2,16076.5
20:00 - 21:00,15957.0,14557.3
21:00 - 22:00,14546.9,13147.2
22:00 - 23:00,13281.7,11882.0
