period,buy_volume,sell_volume
23:00 - 00:00,12768.2,11368.5
00:00 - 01:00,12313.1,10971.6
01:00 - 02:00,12158.5,11109.8
02:00 - 03:00,12239.8,11555.9
03:00 - 04:00,12269.2,11776.1
04:00 - 05:00,12484.0,11891.4
05:00 - 06:00,13399.9,12358.1
06:00 - 07:00,14027.1,12734.1
07:00 - 08:00,14861.3,13825.3
08:00 - 09:00,15597.7,14198.0
09:00 - 10:00,16447.2,15047.5
10:00 - 11:00,15892.2,14492.5
11:00 - 12:00,15460.0,14096.8
12:00 - 13:00,15571.1,14627.7
13:00 - 14:00,15887.5,15393.3
14:00 - 15:00,15889.7,15388.3
15:00 - 16:00,16536.4,15585.9
16:00 - 17:00,17579.8,16180.1
17:00 - 18:00,18411.0,17011.3
18:00 - 19:00,18355.3,16955.6
19:00 - 20:00,15382.4,13982.7
20:00 - 21:00,13626.7,12227.0
21:00 - 22:00,13745.1,12345.4
22:00 - 23:00,14815.1,13733.4
