period,buy_volume,sell_volume
23:00 - 00:00,11976.5,10576.8
00:00 - 01:00,11905.3,10505.6
01:00 - 02:00,11731.6,10577.5
02:00 - 03:00,11745.2,11040.3
03:00 - 04:00,12322.3,12066.6
04:00 - 05:00,12434.3,12634.6
05:00 - 06:00,12794.7,12683.2
06:00 - 07:00,12955.2,12394.5
07:00 - 08:00,15059.8,14049.9
08:00 - 09:00,15093.8,13694.1
09:00 - 10:00,15410.1,14010.4
10:00 - 11:00,15399.9,14000.2
11:00 - 12:00,15288.0,13888.3
12:00 - 13:00,15151.3,13751.6
13:00 - 14:00,15542.2,14142.5
14:00 - 15:00,15646.2,14246.5
15:00 - 16:00,17358.7,15959.0
16:00 - 17:00,17964.7,16565.0
17:00 - 18:00,18312.5,16912.8
18:00 - 19:00,18152.2,16827.9
19:00 - 20:00,14710.3,13310.6
20:00 - 21:00,13258.0,12018.6
21:00 - 22:00,13484.1,12693.9
22:00 - 23:00,14710.0,14369.0
