period,buy_volume,sell_volume
23:00 - 00:00,11697.5,10297.8
00:00 - 01:00,11627.4,10227.7
01:00 - 02:00,11595.4,10195.7
02:00 - 03:00,11279.4,9879.7
03:00 - 04:00,11288.1,9888.4
04:00 - 05:00,11617.0,10217.3
05:00 - 06:00,11689.0,10289.3
06:00 - 07:00,13342.3,11942.6
07:00 - 08:00,13718.1,12318.4
08:00 - 09:00,13767.6,12367.9
09:00 - 10:00,14020.8,12621.1
10:00 - 11:00,13955.2,12555.5
11:00 - 12:00,13777.9,12378.2
12:00 - 13:00,13892.8,12493.1
13:00 - 14:00,13978.3,12578.6
14:00 - 15:00,14577.8,13178.1
15:00 - 16:00,16601.6,15201.9
16:00 - 17:00,17531.0,16131.3
17:00 - 18:00,18382.3,16982.6
18:00 - 19:00,17622.9,16223.2
19:00 - 20:00,18118.7,16719.0
20:00 - 21:00,16374.2,14974.5
21:00 - 22:00,15023.8,13624.1
22:00 - 23:00,14286.2,12886.5
