period,buy_volume,sell_volume
23:00 - 00:00,14457.5,13454.4
00:00 - 01:00,14061.4,13092.1
01:00 - 02:00,13553.1,12797.0
02:00 - 03:00,13371.5,12739.9
03:00 - 04:00,13526.1,13275.9
04:00 - 05:00,13279.7,13485.7
05:00 - 06:00,14098.4,14769.4
06:00 - 07:00,18260.0,19396.0
07:00 - 08:00,17002.3,18451.3
08:00 - 09:00,17500.8,18854.4
09:00 - 10:00,17868.2,19145.2
10:00 - 11:00,17579.0,19028.0
11:00 - 12:00,17263.7,18712.7
12:00 - 13:00,17380.6,18699.3
13:00 - 14:00,17608.0,19057.0
14:00 - 15:00,17584.0,19033.0
15:00 - 16:00,18741.6,20136.6
16:00 - 17:00,20692.2,21622.2
17:00 - 18:00,21428.7,21893.7
18:00 - 19:00,21279.7,21279.7
19:00 - 20:00,20773.7,20708.2
20:00 - 21:00,19225.7,19225.7
21:00 - 22:00,16946.8,16603.7
22:00 - 23:00,15487.3,15454.3
