period,buy_volume,sell_volume
23:00 - 00:00,10992.9,9593.2
00:00 - 01:00,11313.6,9913.9
01:00 - 02:00,10946.0,9546.3
02:00 - 03:00,10344.2,8944.5
03:00 - 04:00,10027.9,8628.2
04:00 - 05:00,9886.0,8486.3
05:00 - 06:00,10159.5,8759.8
06:00 - 07:00,10212.4,8812.7
07:00 - 08:00,10986.4,9586.7
08:00 - 09:00,11864.6,10464.9
09:00 - 10:00,14292.6,12892.9
10:00 - 11:00,15031.2,13631.5
11:00 - 12:00,15702.1,14302.4
12:00 - 13:00,16392.6,14992.9
13:00 - 14:00,16998.8,15599.1
14:00 - 15:00,17472.2,16072.5
15:00 - 16:00,17973.4,16573.7
16:00 - 17:00,19213.3,17813.6
17:00 - 18:00,20400.3,19000.6
18:00 - 19:00,19167.3,17767.6
19:00 - 20:00,17904.8,16505.1
20:00 - 21:00,15774.9,14375.2
21:00 - 22:00,13326.3,12311.4
22:00 - 23:00,12318.7,11753.0
