period,buy_volume,sell_volume
23:00 - 00:00,11825.6,10425.9
00:00 - 01:00,11681.9,10282.2
01:00 - 02:00,11586.6,10186.9
02:00 - 03:00,11043.6,9643.9
03:00 - 04:00,11184.6,9784.9
04:00 - 05:00,11182.5,9782.8
05:00 - 06:00,11670.8,10271.1
06:00 - 07:00,13791.9,12392.2
07:00 - 08:00,14246.9,12847.2
08:00 - 09:00,14334.6,12934.9
09:00 - 10:00,14198.3,12798.6
10:00 - 11:00,14512.5,13112.8
11:00 - 12:00,14720.3,13320.6
12:00 - 13:00,14546.2,13146.5
13:00 - 14:00,14339.7,12940.0
14:00 - 15:00,14415.7,13016.0
15:00 - 16:00,16577.9,15178.2
16:00 - 17:00,17281.1,15881.4
17:00 - 18:00,17912.0,16512.3
18:00 - 19:00,17468.3,16068.6
19:00 - 20:00,15881.1,14481.4
20:00 - 21:00,14953.6,13553.9
21:00 - 22:00,14906.7,13507.0
22:00 - 23:00,16101.5,14701.8
