period,buy_volume,sell_volume
23:00 - 00:00,13722.1,13272.9
00:00 - 01:00,14002.7,14002.7
01:00 - 02:00,13805.4,13805.4
02:00 - 03:00,13343.8,13771.1
03:00 - 04:00,13719.5,14177.1
04:00 - 05:00,13639.2,14488.6
05:00 - 06:00,13242.0,14226.0
06:00 - 07:00,16085.3,17534.3
07:00 - 08:00,14676.2,15666.8
08:00 - 09:00,16328.6,16854.2
09:00 - 10:00,16512.0,16785.2
10:00 - 11:00,16508.5,16847.9
11:00 - 12:00,16319.1,16788.0
12:00 - 13:00,16346.6,17193.3
13:00 - 14:00,16137.6,17312.6
14:00 - 15:00,16038.1,17214.2
15:00 - 16:00,17301.5,18468.1
16:00 - 17:00,18906.3,19607.9
17:00 - 18:00,19292.7,19529.3
18:00 - 19:00,19023.3,19023.3
19:00 - 20:00,19254.7,18805.5
20:00 - 21:00,17483.7,17083.4
21:00 - 22:00,15324.6,14814.0
22:00 - 23:00,13391.5,12837.6
