period,buy_volume,sell_volume
23:00 - 00:00,12796.6,13862.8
00:00 - 01:00,11973.9,13422.9
01:00 - 02:00,11914.6,13363.6
02:00 - 03:00,11868.1,13317.1
03:00 - 04:00,11819.5,13268.5
04:00 - 05:00,11509.9,12958.9
05:00 - 06:00,12068.5,13052.5
06:00 - 07:00,12700.7,13219.7
07:00 - 08:00,13558.0,13612.0
08:00 - 09:00,14115.8,13718.8
09:00 - 10:00,14662.0,13815.8
10:00 - 11:00,14697.1,13488.4
11:00 - 12:00,14498.0,13652.1
12:00 - 13:00,14658.3,13771.7
13:00 - 14:00,14713.2,13377.4
14:00 - 15:00,14769.3,13405.8
15:00 - 16:00,15365.4,13965.7
16:00 - 17:00,15985.0,14585.3
17:00 - 18:00,17255.1,15855.4
18:00 - 19:00,17095.8,15696.1
19:00 - 20:00,17053.8,15654.1
20:00 - 21:00,15794.3,14832.8
21:00 - 22:00,15063.9,14551.6
22:00 - 23:00,15573.9,15510.8
