period,buy_volume,sell_volume
23:00 - 00:00,15282.1,14143.3
00:00 - 01:00,14933.1,13533.4
01:00 - 02:00,14436.8,13163.1
02:00 - 03:00,14394.0,13083.9
03:00 - 04:00,14057.2,12880.5
04:00 - 05:00,13800.3,12542.4
05:00 - 06:00,13837.3,12437.6
06:00 - 07:00,15479.2,14079.5
07:00 - 08:00,17338.6,15938.9
08:00 - 09:00,18634.5,17234.8
09:00 - 10:00,20061.0,18661.3
10:00 - 11:00,19736.4,18336.7
11:00 - 12:00,19784.2,18384.5
12:00 - 13:00,19953.7,18554.0
13:00 - 14:00,19886.8,18487.1
14:00 - 15:00,19899.1,18499.4
15:00 - 16:00,21510.6,20110.9
16:00 - 17:00,22190.0,20790.3
17:00 - 18:00,23383.7,21984.0
18:00 - 19:00,22476.2,21076.5
19:00 - 20:00,21220.1,19820.4
20:00 - 21:00,19492.4,18092.7
21:00 - 22:00,17793.2,16393.5
22:00 - 23:00,15433.9,14034.2
