period,buy_volume,sell_volume
23:00 - 00:00,11766.5,10366.8
00:00 - 01:00,11951.4,10551.7
01:00 - 02:00,11861.3,10461.6
02:00 - 03:00,11564.0,10164.3
03:00 - 04:00,11592.1,10192.4
04:00 - 05:00,11586.9,10187.2
05:00 - 06:00,13504.9,12105.2
06:00 - 07:00,16265.9,14866.2
07:00 - 08:00,17058.1,15658.4
08:00 - 09:00,16719.9,15320.2
09:00 - 10:00,17031.5,15631.8
10:00 - 11:00,16033.9,14634.2
11:00 - 12:00,15825.1,14425.4
12:00 - 13:00,15489.9,14090.2
13:00 - 14:00,15547.4,14147.7
14:00 - 15:00,15007.0,13607.3
15:00 - 16:00,16020.8,14621.1
16:00 - 17:00,16460.5,15060.8
17:00 - 18:00,17449.8,16050.1
18:00 - 19:00,17899.3,16499.6
19:00 - 20:00,17408.9,16009.2
20:00 - 21:00,16988.3,15588.6
21:00 - 22:00,15462.1,14319.4
22:00 - 23:00,16218.7,15525.2
