period,buy_volume,sell_volume
23:00 - 00:00,13430.0,12030.3
00:00 - 01:00,13060.7,11661.0
01:00 - 02:00,13032.1,11632.4
02:00 - 03:00,12830.0,11610.3
03:00 - 04:00,13093.2,11795.9
04:00 - 05:00,13072.8,11708.1
05:00 - 06:00,12775.2,11463.4
06:00 - 07:00,14035.3,12635.6
07:00 - 08:00,15909.4,14509.7
08:00 - 09:00,15184.1,13784.4
09:00 - 10:00,14357.9,12958.2
10:00 - 11:00,14063.6,12663.9
11:00 - 12:00,14116.8,12717.1
12:00 - 13:00,14384.9,12985.2
13:00 - 14:00,15011.4,13611.7
14:00 - 15:00,15328.2,13928.5
15:00 - 16:00,15956.1,14556.4
16:00 - 17:00,17523.9,16124.2
17:00 - 18:00,18950.1,17550.4
18:00 - 19:00,18213.8,16814.1
19:00 - 20:00,17142.8,15743.1
20:00 - 21:00,15167.8,13768.1
21:00 - 22:00,14712.7,13313.0
22:00 - 23:00,14286.8,12887.1
