period,buy_volume,sell_volume
23:00 - 00:00,14147.0,13196.5
00:00 - 01:00,13260.0,12758.6
01:00 - 02:00,12873.0,12820.8
02:00 - 03:00,12608.3,13019.3
03:00 - 04:00,12231.1,13020.5
04:00 - 05:00,12232.2,12994.1
05:00 - 06:00,12561.2,12858.1
06:00 - 07:00,13079.8,12917.5
07:00 - 08:00,13324.9,12713.4
08:00 - 09:00,13880.4,12819.7
09:00 - 10:00,13812.0,12756.8
10:00 - 11:00,14034.5,13428.5
11:00 - 12:00,14462.2,14044.5
12:00 - 13:00,14315.5,13594.7
13:00 - 14:00,14120.6,12950.6
14:00 - 15:00,14068.9,12669.2
15:00 - 16:00,14205.0,12805.3
16:00 - 17:00,16273.8,14874.1
17:00 - 18:00,17994.8,16595.1
18:00 - 19:00,17661.0,16261.3
19:00 - 20:00,17274.6,15874.9
20:00 - 21:00,15822.7,14423.0
21:00 - 22:00,14925.5,13525.8
22:00 - 23:00,13941.9,12542.2
