period,buy_volume,sell_volume
23:00 - 00:00,12996.7,11597.0
00:00 - 01:00,12526.2,11126.5
01:00 - 02:00,12423.4,11023.7
02:00 - 03:00,12380.5,10980.8
03:00 - 04:00,12424.5,11024.8
04:00 - 05:00,12571.3,11171.6
05:00 - 06:00,13342.3,11942.6
06:00 - 07:00,14937.6,13537.9
07:00 - 08:00,15611.0,14211.3
08:00 - 09:00,16545.9,15146.2
09:00 - 10:00,16701.7,15302.0
10:00 - 11:00,16201.0,14801.3
11:00 - 12:00,15931.4,14531.7
12:00 - 13:00,15860.4,14460.7
13:00 - 14:00,15894.2,14494.5
14:00 - 15:00,15596.2,14196.5
15:00 - 16:00,15415.0,14015.3
16:00 - 17:00,15807.5,14407.8
17:00 - 18:00,16834.5,15434.8
18:00 - 19:00,17570.9,16171.2
19:00 - 20:00,17789.5,16389.8
20:00 - 21:00,16378.6,14978.9
21:00 - 22:00,14771.0,13371.3
22:00 - 23:00,13941.1,12541.4
