period,buy_volume,sell_volume
23:00 - 00:00,13611.8,13367.5
00:00 - 01:00,13002.6,13214.7
01:00 - 02:00,12199.7,12876.8
02:00 - 03:00,11975.5,12851.5
03:00 - 04:00,12094.8,12505.8
04:00 - 05:00,12040.1,11987.9
05:00 - 06:00,12259.2,11757.8
06:00 - 07:00,13340.0,12389.5
07:00 - 08:00,15180.7,13781.0
08:00 - 09:00,16835.5,15435.8
09:00 - 10:00,17562.2,16162.5
10:00 - 11:00,17133.0,15733.3
11:00 - 12:00,16824.4,15424.7
12:00 - 13:00,16383.5,14983.8
13:00 - 14:00,15946.5,14546.8
14:00 - 15:00,15354.3,13954.6
15:00 - 16:00,14486.2,13086.5
16:00 - 17:00,15015.0,13682.2
17:00 - 18:00,16153.7,14754.0
18:00 - 19:00,15901.1,14501.4
19:00 - 20:00,14958.3,13558.6
20:00 - 21:00,14582.5,13632.0
21:00 - 22:00,14341.6,13840.2
22:00 - 23:00,14183.0,14130.8
