period,buy_volume,sell_volume
23:00 - 00:00,11553.5,10153.8
00:00 - 01:00,11730.8,10331.1
01:00 - 02:00,11633.8,10234.1
02:00 - 03:00,12016.9,10617.2
03:00 - 04:00,12037.1,10637.4
04:00 - 05:00,11129.6,9729.9
05:00 - 06:00,11995.8,10596.1
06:00 - 07:00,13884.2,12484.5
07:00 - 08:00,14927.2,13527.5
08:00 - 09:00,15839.3,14439.6
09:00 - 10:00,16067.2,14667.5
10:00 - 11:00,15861.3,14461.6
11:00 - 12:00,14979.8,13580.1
12:00 - 13:00,15051.8,13652.1
13:00 - 14:00,14914.5,13514.8
14:00 - 15:00,14605.8,13206.1
15:00 - 16:00,14892.6,13492.9
16:00 - 17:00,15533.3,14133.6
17:00 - 18:00,17509.8,16110.1
18:00 - 19:00,17633.5,16233.8
19:00 - 20:00,18025.4,16625.7
20:00 - 21:00,16932.0,15532.3
21:00 - 22:00,15915.8,14516.1
22:00 - 23:00,15251.5,13851.8
