period,buy_volume,sell_volume
23:00 - 00:00,15924.7,14525.0
00:00 - 01:00,15510.9,14111.2
01:00 - 02:00,16112.0,14712.3
02:00 - 03:00,15757.4,14357.7
03:00 - 04:00,15250.7,13909.9
04:00 - 05:00,14391.2,13492.8
05:00 - 06:00,13860.8,13411.6
06:00 - 07:00,17443.9,17443.9
07:00 - 08:00,18606.8,18775.2
08:00 - 09:00,19693.4,19922.2
09:00 - 10:00,19743.5,19743.5
10:00 - 11:00,19204.6,19582.2
11:00 - 12:00,17942.0,18548.7
12:00 - 13:00,17578.3,17974.9
13:00 - 14:00,17098.4,17657.3
14:00 - 15:00,17164.3,17472.8
15:00 - 16:00,16618.0,17322.0
16:00 - 17:00,17298.5,18008.2
17:00 - 18:00,17954.0,18453.2
18:00 - 19:00,17363.3,17397.5
19:00 - 20:00,17016.3,16600.2
20:00 - 21:00,15333.8,14468.5
21:00 - 22:00,14695.2,13827.9
22:00 - 23:00,15002.9,14584.8
