period,buy_volume,sell_volume
23:00 - 00:00,12770.2,13169.9
00:00 - 01:00,12528.2,13392.9
01:00 - 02:00,11812.2,13141.9
02:00 - 03:00,11175.1,12624.1
03:00 - 04:00,11512.9,12961.9
04:00 - 05:00,11154.4,12603.4
05:00 - 06:00,10990.7,12439.7
06:00 - 07:00,11850.7,13080.2
07:00 - 08:00,12833.6,13598.1
08:00 - 09:00,13521.7,13821.2
09:00 - 10:00,14195.9,14036.0
10:00 - 11:00,14294.8,14490.9
11:00 - 12:00,14517.5,15178.6
12:00 - 13:00,14703.5,15114.5
13:00 - 14:00,14437.5,14385.3
14:00 - 15:00,14748.7,14247.3
15:00 - 16:00,15660.5,14710.0
16:00 - 17:00,17499.6,16099.9
17:00 - 18:00,19075.2,17675.5
18:00 - 19:00,19007.0,17607.3
19:00 - 20:00,17276.0,15876.3
20:00 - 21:00,15891.1,14491.4
21:00 - 22:00,14448.1,13048.4
22:00 - 23:00,13127.9,12171.9
