period,buy_volume,sell_volume
23:00 - 00:00,14133.1,13169.7
00:00 - 01:00,13682.2,13022.0
01:00 - 02:00,13335.9,12623.4
02:00 - 03:00,13511.0,12645.3
03:00 - 04:00,13368.3,12388.2
04:00 - 05:00,12405.9,11455.4
05:00 - 06:00,12342.6,10942.9
06:00 - 07:00,14039.8,12640.1
07:00 - 08:00,17733.5,16333.8
08:00 - 09:00,18075.4,16675.7
09:00 - 10:00,17825.8,16426.1
10:00 - 11:00,17352.3,15952.6
11:00 - 12:00,16635.1,15235.4
12:00 - 13:00,16495.2,15095.5
13:00 - 14:00,16148.2,14748.5
14:00 - 15:00,16426.2,15026.5
15:00 - 16:00,16103.6,14703.9
16:00 - 17:00,17124.6,15724.9
17:00 - 18:00,18220.7,16821.0
18:00 - 19:00,19309.1,17909.4
19:00 - 20:00,19640.2,18240.5
20:00 - 21:00,18076.9,16677.2
21:00 - 22:00,16469.3,15069.6
22:00 - 23:00,14191.0,12791.3
