period,buy_volume,sell_volume
23:00 - 00:00,10814.0,10307.2
00:00 - 01:00,10464.0,10406.4
01:00 - 02:00,10310.4,10310.4
02:00 - 03:00,10016.2,9888.9
03:00 - 04:00,10377.8,10061.4
04:00 - 05:00,10456.3,10430.9
05:00 - 06:00,10150.4,10150.4
06:00 - 07:00,9894.7,9894.7
07:00 - 08:00,11829.6,11820.6
08:00 - 09:00,12212.4,11823.6
09:00 - 10:00,13145.0,13145.0
10:00 - 11:00,13387.7,13398.9
11:00 - 12:00,13450.9,13716.6
12:00 - 13:00,13695.0,13642.8
13:00 - 14:00,13761.2,13259.8
14:00 - 15:00,13225.9,12275.4
15:00 - 16:00,14399.3,12999.6
16:00 - 17:00,15666.6,14266.9
17:00 - 18:00,17417.7,16018.0
18:00 - 19:00,16418.3,15018.6
19:00 - 20:00,15148.4,13748.7
20:00 - 21:00,13494.1,12237.9
21:00 - 22:00,11817.1,11010.1
22:00 - 23:00,12348.1,11990.3
