period,buy_volume,sell_volume
23:00 - 00:00,13060.4,11660.7
00:00 - 01:00,12971.7,11572.0
01:00 - 02:00,12256.0,10856.3
02:00 - 03:00,11666.9,10267.2
03:00 - 04:00,12298.3,10898.6
04:00 - 05:00,12291.0,10987.5
05:00 - 06:00,12469.7,11486.9
06:00 - 07:00,14201.2,12801.5
07:00 - 08:00,15449.3,14049.6
08:00 - 09:00,16985.7,15586.0
09:00 - 10:00,17590.2,16190.5
10:00 - 11:00,17280.5,15880.8
11:00 - 12:00,16758.1,15358.4
12:00 - 13:00,16740.4,15340.7
13:00 - 14:00,16032.1,14632.4
14:00 - 15:00,15732.0,14332.3
15:00 - 16:00,16261.8,14862.1
16:00 - 17:00,16623.3,15223.6
17:00 - 18:00,17476.5,16076.8
18:00 - 19:00,18140.3,16740.6
19:00 - 20:00,18011.3,16611.6
20:00 - 21:00,16296.6,14896.9
21:00 - 22:00,14527.2,13127.5
22:00 - 23:00,14137.2,12904.6
