period,buy_volume,sell_volume
23:00 - 00:00,12530.8,11131.1
00:00 - 01:00,11407.3,10007.6
01:00 - 02:00,11314.9,9915.2
02:00 - 03:00,11071.4,9671.7
03:00 - 04:00,11321.8,9922.1
04:00 - 05:00,11554.9,10155.2
05:00 - 06:00,11837.9,10438.2
06:00 - 07:00,13821.5,12421.8
07:00 - 08:00,14387.3,12987.6
08:00 - 09:00,14816.0,13416.3
09:00 - 10:00,14158.1,12758.4
10:00 - 11:00,13257.1,11857.4
11:00 - 12:00,12903.3,11503.6
12:00 - 13:00,12906.2,11506.5
13:00 - 14:00,12504.1,11104.4
14:00 - 15:00,12224.2,10824.5
15:00 - 16:00,12422.5,11022.8
16:00 - 17:00,13172.6,11772.9
17:00 - 18:00,14483.5,13083.8
18:00 - 19:00,15639.4,14239.7
19:00 - 20:00,17216.9,15817.2
20:00 - 21:00,16225.3,14825.6
21:00 - 22:00,14409.7,13010.0
22:00 - 23:00,13133.3,11733.6
