period,buy_volume,sell_volume
23:00 - 00:00,11897.2,11897.2
00:00 - 01:00,11564.0,11564.0
01:00 - 02:00,11179.7,11179.7
02:00 - 03:00,11028.7,11049.1
03:00 - 04:00,10722.7,10908.3
04:00 - 05:00,10677.4,11328.0
05:00 - 06:00,11540.2,12655.8
06:00 - 07:00,15696.1,17145.1
07:00 - 08:00,16009.5,17458.5
08:00 - 09:00,16440.7,17889.7
09:00 - 10:00,16278.3,17727.3
10:00 - 11:00,15405.5,16854.5
11:00 - 12:00,15310.5,16759.5
12:00 - 13:00,15096.1,16545.1
13:00 - 14:00,15116.9,16565.9
14:00 - 15:00,16172.5,17621.5
15:00 - 16:00,16747.5,17787.9
16:00 - 17:00,18155.7,18731.1
17:00 - 18:00,18976.1,19086.5
18:00 - 19:00,18729.4,18386.9
19:00 - 20:00,19907.4,19115.7
20:00 - 21:00,17983.7,17253.0
21:00 - 22:00,16071.1,15420.6
22:00 - 23:00,13556.4,12839.1
