period,buy_volume,sell_volume
23:00 - 00:00,12873.0,11473.3
00:00 - 01:00,12828.7,11429.0
01:00 - 02:00,12378.1,10978.4
02:00 - 03:00,11982.8,10583.1
03:00 - 04:00,11776.3,10376.6
04:00 - 05:00,11646.5,10246.8
05:00 - 06:00,11833.9,10434.2
06:00 - 07:00,12599.3,11199.6
07:00 - 08:00,13248.4,11848.7
08:00 - 09:00,15370.8,13971.1
09:00 - 10:00,16549.8,15150.1
10:00 - 11:00,17440.5,16040.8
11:00 - 12:00,17943.2,16543.5
12:00 - 13:00,18150.1,16750.4
13:00 - 14:00,17916.0,16516.3
14:00 - 15:00,17578.4,16178.7
15:00 - 16:00,18292.6,16892.9
16:00 - 17:00,19468.8,18069.1
17:00 - 18:00,19861.3,18461.6
18:00 - 19:00,18686.1,17735.6
19:00 - 20:00,16334.6,15182.8
20:00 - 21:00,13983.5,13085.1
21:00 - 22:00,12305.3,11856.1
22:00 - 23:00,12610.6,12610.6
