period,buy_volume,sell_volume
23:00 - 00:00,14839.6,15456.2
00:00 - 01:00,14458.9,15388.2
01:00 - 02:00,14307.3,15454.4
02:00 - 03:00,14371.1,15667.9
03:00 - 04:00,14000.9,15269.4
04:00 - 05:00,14700.3,15503.8
05:00 - 06:00,14946.0,15284.5
06:00 - 07:00,15020.0,14897.8
07:00 - 08:00,15671.9,15100.5
08:00 - 09:00,15816.5,14795.9
09:00 - 10:00,15857.0,14457.3
10:00 - 11:00,16442.5,15042.8
11:00 - 12:00,16702.7,15303.0
12:00 - 13:00,17270.3,15870.6
13:00 - 14:00,16732.2,15332.5
14:00 - 15:00,16316.3,14916.6
15:00 - 16:00,15785.6,14385.9
16:00 - 17:00,16320.0,14920.3
17:00 - 18:00,16994.2,15594.5
18:00 - 19:00,16858.6,15458.9
19:00 - 20:00,16823.0,15423.3
20:00 - 21:00,15418.2,14018.5
21:00 - 22:00,13977.3,12577.6
22:00 - 23:00,14985.3,13585.6
