period,buy_volume,sell_volume
23:00 - 00:00,12440.9,11041.2
00:00 - 01:00,12209.6,10809.9
01:00 - 02:00,11825.2,10425.5
02:00 - 03:00,11372.3,9972.6
03:00 - 04:00,11832.2,10432.5
04:00 - 05:00,11936.9,10537.2
05:00 - 06:00,12865.1,11465.4
06:00 - 07:00,15353.3,14066.5
07:00 - 08:00,15882.7,14483.0
08:00 - 09:00,15504.6,14104.9
09:00 - 10:00,14738.2,13338.5
10:00 - 11:00,13774.4,12374.7
11:00 - 12:00,13156.2,11756.5
12:00 - 13:00,12970.0,11570.3
13:00 - 14:00,12904.6,11504.9
14:00 - 15:00,12824.5,11424.8
15:00 - 16:00,13284.6,12175.8
16:00 - 17:00,14854.4,14194.8
17:00 - 18:00,17474.3,16662.7
18:00 - 19:00,18643.6,17717.5
19:00 - 20:00,19004.9,17629.6
20:00 - 21:00,18020.3,16775.6
21:00 - 22:00,15280.2,13880.5
22:00 - 23:00,14959.7,13560.0
