period,buy_volume,sell_volume
23:00 - 00:00,13751.2,12351.5
00:00 - 01:00,13899.5,12499.8
01:00 - 02:00,12797.4,11397.7
02:00 - 03:00,12612.8,11213.1
03:00 - 04:00,12182.2,10782.5
04:00 - 05:00,11868.2,10468.5
05:00 - 06:00,12114.7,10715.0
06:00 - 07:00,13753.6,12353.9
07:00 - 08:00,13355.9,11956.2
08:00 - 09:00,15822.5,14422.8
09:00 - 10:00,16476.6,15076.9
10:00 - 11:00,16865.1,15465.4
11:00 - 12:00,16798.1,15398.4
12:00 - 13:00,16893.0,15493.3
13:00 - 14:00,16636.4,15236.7
14:00 - 15:00,16413.3,15013.6
15:00 - 16:00,16895.0,15495.3
16:00 - 17:00,18280.3,16880.6
17:00 - 18:00,19244.2,17844.5
18:00 - 19:00,18348.8,16949.1
19:00 - 20:00,17854.1,16454.4
20:00 - 21:00,16386.2,14986.5
21:00 - 22:00,14712.7,13313.0
22:00 - 23:00,13382.0,11982.3
