period,buy_volume,sell_volume
23:00 - 00:00,11490.1,11955.1
00:00 - 01:00,11785.0,12715.0
01:00 - 02:00,11499.5,12456.8
02:00 - 03:00,11346.2,12185.1
03:00 - 04:00,11099.0,11958.7
04:00 - 05:00,10899.8,11310.8
05:00 - 06:00,11033.4,10981.2
06:00 - 07:00,12119.4,11618.0
07:00 - 08:00,14106.0,13155.5
08:00 - 09:00,15029.7,13630.0
09:00 - 10:00,15490.7,14091.0
10:00 - 11:00,15387.2,13987.5
11:00 - 12:00,15178.3,13778.6
12:00 - 13:00,15192.8,13793.1
13:00 - 14:00,14828.9,13429.2
14:00 - 15:00,15001.7,13602.0
15:00 - 16:00,16185.7,14786.0
16:00 - 17:00,16631.3,15231.6
17:00 - 18:00,17452.3,16052.6
18:00 - 19:00,16729.9,15330.2
19:00 - 20:00,16748.9,15349.2
20:00 - 21:00,14991.2,13591.5
21:00 - 22:00,14184.3,12784.6
22:00 - 23:00,13519.1,12119.4
