period,buy_volume,sell_volume
23:00 - 00:00,13295.0,11895.3
00:00 - 01:00,12801.2,11401.5
01:00 - 02:00,12700.9,11301.2
02:00 - 03:00,12463.3,11063.6
03:00 - 04:00,12805.9,11406.2
04:00 - 05:00,12467.0,11067.3
05:00 - 06:00,13630.1,12230.4
06:00 - 07:00,16538.0,15138.3
07:00 - 08:00,16862.5,15462.8
08:00 - 09:00,17705.0,16305.3
09:00 - 10:00,17491.4,16091.7
10:00 - 11:00,17170.7,15771.0
11:00 - 12:00,16371.0,14971.3
12:00 - 13:00,16445.0,15045.3
13:00 - 14:00,15913.6,14513.9
14:00 - 15:00,15871.8,14472.1
15:00 - 16:00,15777.4,14377.7
16:00 - 17:00,16584.5,15184.8
17:00 - 18:00,17641.2,16241.5
18:00 - 19:00,18451.1,17051.4
19:00 - 20:00,17608.2,16208.5
20:00 - 21:00,16284.9,14885.2
21:00 - 22:00,13552.6,12152.9
22:00 - 23:00,12802.8,11403.1
