period,buy_volume,sell_volume
23:00 - 00:00,13445.6,12045.9
00:00 - 01:00,13583.9,12184.2
01:00 - 02:00,13667.3,12389.5
02:00 - 03:00,13430.2,12030.5
03:00 - 04:00,13404.4,12004.7
04:00 - 05:00,13182.8,11783.1
05:00 - 06:00,13788.1,12388.4
06:00 - 07:00,15863.8,14464.1
07:00 - 08:00,16049.2,14649.5
08:00 - 09:00,16780.0,15380.3
09:00 - 10:00,16984.6,15584.9
10:00 - 11:00,16439.1,15039.4
11:00 - 12:00,16031.5,14631.8
12:00 - 13:00,16387.7,14988.0
13:00 - 14:00,16150.2,14750.5
14:00 - 15:00,15562.5,14162.8
15:00 - 16:00,15310.2,13910.5
16:00 - 17:00,17336.9,15937.2
17:00 - 18:00,18229.0,16829.3
18:00 - 19:00,18686.0,17470.0
19:00 - 20:00,16769.7,16002.9
20:00 - 21:00,14137.2,13819.6
21:00 - 22:00,13219.1,13355.3
22:00 - 23:00,14298.9,14900.1
