period,buy_volume,sell_volume
23:00 - 00:00,13208.4,12090.2
00:00 - 01:00,12968.0,12204.9
01:00 - 02:00,12669.7,12150.9
02:00 - 03:00,12722.9,12462.1
03:00 - 04:00,11876.7,11824.5
04:00 - 05:00,11926.7,11425.3
05:00 - 06:00,12485.7,11535.2
06:00 - 07:00,14813.2,13413.5
07:00 - 08:00,14806.1,13406.4
08:00 - 09:00,16311.1,14911.4
09:00 - 10:00,16988.0,15588.3
10:00 - 11:00,16928.8,15529.1
11:00 - 12:00,16980.3,15580.6
12:00 - 13:00,16700.4,15300.7
13:00 - 14:00,16816.3,15416.6
14:00 - 15:00,16379.1,14979.4
15:00 - 16:00,17979.6,16579.9
16:00 - 17:00,19018.2,17618.5
17:00 - 18:00,20001.0,18601.3
18:00 - 19:00,19454.6,18054.9
19:00 - 20:00,18365.4,16965.7
20:00 - 21:00,16745.8,15346.1
21:00 - 22:00,15643.2,14243.5
22:00 - 23:00,13645.3,12245.6
