period,buy_volume,sell_volume
23:00 - 00:00,12577.2,11177.5
00:00 - 01:00,12542.7,11143.0
01:00 - 02:00,12529.6,11129.9
02:00 - 03:00,12536.1,11136.4
03:00 - 04:00,12825.8,11426.1
04:00 - 05:00,12829.8,11430.1
05:00 - 06:00,12315.2,10915.5
06:00 - 07:00,12900.2,11500.5
07:00 - 08:00,13293.0,11893.3
08:00 - 09:00,14873.6,13473.9
09:00 - 10:00,15125.5,13725.8
10:00 - 11:00,15146.9,13747.2
11:00 - 12:00,14916.1,13516.4
12:00 - 13:00,15254.2,13854.5
13:00 - 14:00,15315.4,13915.7
14:00 - 15:00,14971.2,13571.5
15:00 - 16:00,14344.1,12944.4
16:00 - 17:00,15322.4,13922.7
17:00 - 18:00,17238.9,15839.2
18:00 - 19:00,18711.4,17311.7
19:00 - 20:00,18220.9,16821.2
20:00 - 21:00,16874.4,15474.7
21:00 - 22:00,16074.0,14674.3
22:00 - 23:00,14458.1,13058.4
