period,buy_volume,sell_volume
23:00 - 00:00,11712.8,10313.1
00:00 - 01:00,11015.4,9615.7
01:00 - 02:00,10502.9,9103.2
02:00 - 03:00,10396.8,8997.1
03:00 - 04:00,10544.8,9145.1
04:00 - 05:00,10302.8,8903.1
05:00 - 06:00,10645.8,9246.1
06:00 - 07:00,11027.5,9627.8
07:00 - 08:00,12522.8,11123.1
08:00 - 09:00,12674.5,11274.8
09:00 - 10:00,13888.0,12488.3
10:00 - 11:00,13614.7,12215.0
11:00 - 12:00,13173.6,11773.9
12:00 - 13:00,13415.1,12015.4
13:00 - 14:00,12525.5,11125.8
14:00 - 15:00,12601.4,11201.7
15:00 - 16:00,12766.4,11366.7
16:00 - 17:00,13770.0,12370.3
17:00 - 18:00,15928.1,14528.4
18:00 - 19:00,17208.0,15808.3
19:00 - 20:00,17166.3,15766.6
20:00 - 21:00,15244.8,13845.1
21:00 - 22:00,12681.2,11281.5
22:00 - 23:00,12633.6,11233.9
