period,buy_volume,sell_volume
23:00 - 00:00,11023.6,9623.9
00:00 - 01:00,10634.6,9234.9
01:00 - 02:00,10536.3,9136.6
02:00 - 03:00,10472.8,9522.3
03:00 - 04:00,10723.2,10221.8
04:00 - 05:00,11059.9,10970.1
05:00 - 06:00,11914.2,11914.2
06:00 - 07:00,13172.7,13378.9
07:00 - 08:00,15229.3,15900.5
08:00 - 09:00,15578.8,16252.5
09:00 - 10:00,16124.6,16338.3
10:00 - 11:00,16160.7,16160.7
11:00 - 12:00,15665.1,15665.1
12:00 - 13:00,16234.2,16051.9
13:00 - 14:00,16984.8,16572.9
14:00 - 15:00,17364.7,17364.7
15:00 - 16:00,17891.4,17891.4
16:00 - 17:00,19530.8,19081.6
17:00 - 18:00,19991.6,19093.2
18:00 - 19:00,19470.9,18366.0
19:00 - 20:00,19410.4,18010.7
20:00 - 21:00,18083.1,16906.8
21:00 - 22:00,16191.2,14858.3
22:00 - 23:00,15310.0,14203.1
