period,buy_volume,sell_volume
23:00 - 00:00,12670.8,12782.8
00:00 - 01:00,12366.3,12943.3
01:00 - 02:00,11914.5,12956.5
02:00 - 03:00,11537.7,12856.2
03:00 - 04:00,11431.9,12784.2
04:00 - 05:00,11724.0,12631.4
05:00 - 06:00,11914.7,12357.1
06:00 - 07:00,11854.6,11832.8
07:00 - 08:00,13138.4,12667.4
08:00 - 09:00,13631.8,12711.6
09:00 - 10:00,12629.2,11259.8
10:00 - 11:00,13289.7,11890.0
11:00 - 12:00,13061.8,11662.1
12:00 - 13:00,13694.1,12294.4
13:00 - 14:00,14278.5,12878.8
14:00 - 15:00,14687.8,13288.1
15:00 - 16:00,16026.4,14626.7
16:00 - 17:00,17153.8,15754.1
17:00 - 18:00,17968.8,16569.1
18:00 - 19:00,17340.0,15940.3
19:00 - 20:00,16287.0,14887.3
20:00 - 21:00,14952.1,13552.4
21:00 - 22:00,13889.6,12489.9
22:00 - 23:00,12664.0,11264.3
