period,buy_volume,sell_volume
23:00 - 00:00,12658.0,11258.3
00:00 - 01:00,12229.2,10829.5
01:00 - 02:00,11870.5,10470.8
02:00 - 03:00,11647.4,10247.7
03:00 - 04:00,11782.8,10383.1
04:00 - 05:00,11698.6,10298.9
05:00 - 06:00,11810.3,10410.6
06:00 - 07:00,12108.4,10708.7
07:00 - 08:00,11981.4,10581.7
08:00 - 09:00,13348.0,11948.3
09:00 - 10:00,14440.9,13041.2
10:00 - 11:00,14764.5,13364.8
11:00 - 12:00,14755.9,13356.2
12:00 - 13:00,15196.3,13796.6
13:00 - 14:00,15112.9,13713.2
14:00 - 15:00,14943.7,13544.0
15:00 - 16:00,14984.6,13584.9
16:00 - 17:00,16540.3,15140.6
17:00 - 18:00,18556.2,17156.5
18:00 - 19:00,19465.7,18066.0
19:00 - 20:00,18842.3,17442.6
20:00 - 21:00,17125.7,15726.0
21:00 - 22:00,15997.7,14598.0
22:00 - 23:00,14621.0,13221.3
