period,buy_volume,sell_volume
23:00 - 00:00,13924.6,14689.8
00:00 - 01:00,13549.4,14603.5
01:00 - 02:00,14159.7,15301.3
02:00 - 03:00,14107.5,15271.3
03:00 - 04:00,14218.0,15270.9
04:00 - 05:00,14163.2,14751.1
05:00 - 06:00,13983.3,14106.2
06:00 - 07:00,14166.3,13835.9
07:00 - 08:00,15337.3,14557.7
08:00 - 09:00,15025.7,13796.9
09:00 - 10:00,15944.2,14544.5
10:00 - 11:00,15604.7,14205.0
11:00 - 12:00,15904.8,14505.1
12:00 - 13:00,16213.6,14813.9
13:00 - 14:00,16599.4,15199.7
14:00 - 15:00,16899.4,15499.7
15:00 - 16:00,18024.4,16624.7
16:00 - 17:00,18532.2,17132.5
17:00 - 18:00,19642.8,18243.1
18:00 - 19:00,18911.6,17511.9
19:00 - 20:00,18883.0,17483.3
20:00 - 21:00,17321.5,15921.8
21:00 - 22:00,16089.7,14690.0
22:00 - 23:00,14193.0,12793.3
