period,buy_volume,sell_volume
23:00 - 00:00,14012.9,13380.4
00:00 - 01:00,13601.8,13418.5
01:00 - 02:00,13768.2,13317.5
02:00 - 03:00,13498.8,13155.4
03:00 - 04:00,13277.3,13141.3
04:00 - 05:00,13539.3,13282.5
05:00 - 06:00,13522.6,12917.3
06:00 - 07:00,14773.1,13718.7
07:00 - 08:00,14458.1,13058.4
08:00 - 09:00,14655.5,13255.8
09:00 - 10:00,14708.6,13308.9
10:00 - 11:00,14637.9,13238.2
11:00 - 12:00,14951.1,13551.4
12:00 - 13:00,15214.2,13814.5
13:00 - 14:00,15161.2,13761.5
14:00 - 15:00,14845.8,13446.1
15:00 - 16:00,15559.0,14159.3
16:00 - 17:00,15988.5,14588.8
17:00 - 18:00,16345.1,14945.4
18:00 - 19:00,16288.4,14888.7
19:00 - 20:00,15321.1,13921.4
20:00 - 21:00,14127.2,12727.5
21:00 - 22:00,13422.4,12022.7
22:00 - 23:00,12966.3,11566.6
