period,buy_volume,sell_volume,volume,price
00:00 - 00:30,155.9,475.8,475.8,64.4
00:30 - 01:00,143.2,525.8,525.8,59.27
01:00 - 01:30,230.7,605.2,605.2,53.9
01:30 - 02:00,201.6,529.0,529.0,55.0
02:00 - 02:30,171.0,488.2,488.2,52.0
02:30 - 03:00,203.3,493.8,493.8,42.12
03:00 - 03:30,118.2,471.0,471.0,41.41
03:30 - 04:00,140.9,571.2,571.2,37.43
04:00 - 04:30,195.6,562.4,562.4,31.28
04:30 - 05:00,223.7,601.9,601.9,30.0
05:00 - 05:30,146.9,476.1,476.1,31.98
05:30 - 06:00,128.6,477.2,477.2,33.86
06:00 - 06:30,96.3,466.9,466.9,41.77
06:30 - 07:00,54.2,438.6,438.6,56.0
07:00 - 07:30,93.7,502.0,502.0,63.68
07:30 - 08:00,119.9,506.1,506.1,73.7
08:00 - 08:30,42.8,478.3,478.3,76.71
08:30 - 09:00,51.8,564.8,564.8,83.3
09:00 - 09:30,137.7,488.3,488.3,80.0
09:30 - 10:00,172.6,517.8,517.8,84.54
10:00 - 10:30,200.3,441.9,441.9,84.72
10:30 - 11:00,183.2,389.0,389.0,83.58
11:00 - 11:30,202.0,300.0,300.0,84.76
11:30 - 12:00,183.0,245.8,245.8,84.04
12:00 - 12:30,292.1,377.6,377.6,86.67
12:30 - 13:00,254.9,355.4,355.4,86.67
13:00 - 13:30,224.3,448.3,448.3,88.0
13:30 - 14:00,212.9,471.5,471.5,87.62
14:00 - 14:30,133.5,605.0,605.0,87.65
14:30 - 15:00,113.7,618.7,618.7,86.48
15:00 - 15:30,130.3,657.3,657.3,89.45
15:30 - 16:00,115.3,710.8,710.8,86.46
16:00 - 16:30,166.0,630.3,630.3,80.89
16:30 - 17:00,155.6,673.6,673.6,85.0
17:00 - 17:30,94.9,822.0,822.0,84.99
17:30 - 18:00,148.1,803.4,803.4,87.0
18:00 - 18:30,112.7,760.0,760.0,83.2
18:30 - 19:00,149.8,758.7,758.7,81.59
19:00 - 19:30,147.1,591.0,591.0,75.51
19:30 - 20:00,107.0,559.2,559.2,73.41
20:00 - 20:30,172.2,700.7,700.7,74.9
20:30 - 21:00,124.6,493.6,493.6,77.92
21:00 - 21:30,172.1,496.4,496.4,78.47
21:30 - 22:00,159.3,413.6,413.6,71.51
22:00 - 22:30,300.6,399.9,399.9,64.0
22:30 - 23:00,255.3,423.2,423.2,46.22
23:00 - 23:30,368.8,454.8,454.8,29.29
23:30 - 24:00,335.9,466.7,466.7,0.0
