period,price
23:00 - 00:00,62.57
00:00 - 01:00,63.22
01:00 - 02:00,61.98
02:00 - 03:00,63.04
03:00 - 04:00,65.63
04:00 - 05:00,67.91
05:00 - 06:00,80.0
06:00 - 07:00,88.35
07:00 - 08:00,87.1
08:00 - 09:00,92.9
09:00 - 10:00,98.79
10:00 - 11:00,98.56
11:00 - 12:00,96.85
12:00 - 13:00,96.69
13:00 - 14:00,99.33
14:00 - 15:00,90.74
15:00 - 16:00,96.41
16:00 - 17:00,109.0
17:00 - 18:00,109.99
18:00 - 19:00,102.7
19:00 - 20:00,90.75
20:00 - 21:00,85.72
21:00 - 22:00,86.02
22:00 - 23:00,75.68
