period,low_price,high_price,last_price,weight_avg_price,buy_volume,sell_volume,volume,rpd,rpd_hh
00:00 - 00:30,38.76,96.97,76.63,72.38,1952.1,1952.1,1952.1,72.75,72.38
00:30 - 01:00,68.01,82.02,69.92,76.02,1819.3,1819.3,1819.3,76.06,76.02
01:00 - 01:30,69.39,84.65,75.0,77.35,1389.2,1389.2,1389.2,77.23,77.35
01:30 - 02:00,70.0,85.62,72.99,77.97,1547.4,1547.4,1547.4,77.8,77.97
02:00 - 02:30,64.09,84.11,67.96,75.08,1680.4,1680.4,1680.4,74.61,75.08
02:30 - 03:00,55.0,81.69,57.8,68.81,1349.0,1349.0,1349.0,69.31,68.81
03:00 - 03:30,60.35,84.24,66.01,67.17,1154.1,1154.1,1154.1,68.06,67.17
03:30 - 04:00,57.58,81.0,80.98,67.12,1639.0,1639.0,1639.0,67.79,67.12
04:00 - 04:30,60.0,83.0,73.0,69.99,1572.3,1572.3,1572.3,69.53,69.99
04:30 - 05:00,59.0,78.96,62.38,65.66,1702.7,1702.7,1702.7,65.84,65.66
05:00 - 05:30,49.24,71.67,53.0,63.52,1578.6,1578.6,1578.6,64.04,63.52
05:30 - 06:00,56.7,76.0,70.42,65.49,1513.1,1513.1,1513.1,65.72,65.49
06:00 - 06:30,44.82,80.45,55.0,66.79,1438.7,1438.7,1438.7,67.16,66.79
06:30 - 07:00,54.08,106.7,55.0,63.77,1522.6,1522.6,1522.6,64.33,63.77
07:00 - 07:30,58.6,114.4,65.0,71.86,1982.1,1982.1,1982.1,71.88,71.86
07:30 - 08:00,42.3,84.43,73.87,74.74,1929.6,1929.6,1929.6,74.61,74.74
08:00 - 08:30,79.46,99.37,93.0,89.85,1944.1,1944.1,1944.1,89.71,89.85
08:30 - 09:00,74.61,112.8,85.0,86.33,2163.0,2163.0,2163.0,86.53,86.33
09:00 - 09:30,60.0,99.87,97.01,92.0,2742.7,2742.7,2742.7,91.73,92.0
09:30 - 10:00,83.76,99.3,94.02,93.27,2611.6,2611.6,2611.6,92.89,93.27
10:00 - 10:30,77.4,95.65,94.0,88.76,1943.9,1943.9,1943.9,87.7,88.76
10:30 - 11:00,75.3,94.0,92.0,88.02,1757.0,1757.0,1757.0,87.0,88.02
11:00 - 11:30,40.0,94.9,84.76,85.25,1923.7,1923.7,1923.7,84.76,85.25
11:30 - 12:00,67.3,92.63,89.5,84.33,2143.2,2143.2,2143.2,84.02,84.33
12:00 - 12:30,76.0,86.9,81.47,81.09,1681.2,1681.2,1681.2,80.95,81.09
12:30 - 13:00,75.0,87.83,86.0,82.56,1452.2,1452.2,1452.2,82.01,82.56
13:00 - 13:30,58.85,86.13,70.0,71.0,1898.6,1898.6,1898.6,73.12,71.0
13:30 - 14:00,61.15,89.4,82.01,76.54,2358.4,2358.4,2358.4,77.29,76.54
14:00 - 14:30,65.0,87.95,72.5,76.19,1748.5,1748.5,1748.5,77.07,76.19
14:30 - 15:00,63.08,83.61,65.13,73.85,1947.0,1947.0,1947.0,75.51,73.85
15:00 - 15:30,55.2,84.46,62.0,72.75,2208.6,2208.6,2208.6,74.63,72.75
15:30 - 16:00,58.78,82.91,75.0,71.4,2386.3,2386.3,2386.3,73.6,71.4
16:00 - 16:30,48.01,80.0,50.0,69.96,2351.8,2351.8,2351.8,72.32,69.96
16:30 - 17:00,55.01,89.13,58.0,72.16,2384.0,2384.0,2384.0,73.98,72.16
17:00 - 17:30,70.0,93.0,89.01,81.57,2270.1,2270.1,2270.1,81.15,81.57
17:30 - 18:00,76.0,96.0,88.01,87.23,2228.0,2228.0,2228.0,85.4,87.23
18:00 - 18:30,76.8,106.4,100.25,90.52,1977.3,1977.3,1977.3,87.15,90.52
18:30 - 19:00,76.3,109.99,107.0,97.99,2400.8,2400.8,2400.8,92.26,97.99
19:00 - 19:30,50.0,94.72,60.06,84.42,2770.0,2770.0,2770.0,83.72,84.42
19:30 - 20:00,56.23,91.0,63.0,80.05,2728.7,2728.7,2728.7,80.82,80.05
20:00 - 20:30,66.9,87.45,83.33,77.64,2352.8,2352.8,2352.8,77.91,77.64
20:30 - 21:00,75.0,101.22,90.6,83.95,2043.4,2043.4,2043.4,82.56,83.95
21:00 - 21:30,74.0,91.75,82.5,82.29,2198.6,2198.6,2198.6,81.4,82.29
21:30 - 22:00,75.0,88.9,87.55,80.91,2379.3,2379.3,2379.3,80.39,80.91
22:00 - 22:30,75.1,90.0,90.0,81.21,2646.0,2646.0,2646.0,79.45,81.21
22:30 - 23:00,68.03,90.86,85.0,77.71,2160.4,2160.4,2160.4,76.59,77.71
23:00 - 23:30,68.0,91.0,89.7,77.47,2305.5,2305.5,2305.5,76.46,77.47
23:30 - 24:00,50.55,84.64,82.88,71.76,2516.5,2516.5,2516.5,72.17,71.76
