publishTime,startTime,settlementDate,settlementPeriod,initialDemandOutturn,initialTransmissionSystemDemandOutturn,hour
2025-12-17T00:30:00Z,2025-12-17T00:00:00Z,2025-12-17,1,26788,29653,0
2025-12-17T01:00:00Z,2025-12-17T00:30:00Z,2025-12-17,2,27265,30152,0
2025-12-17T01:30:00Z,2025-12-17T01:00:00Z,2025-12-17,3,26652,30384,1
2025-12-17T02:00:00Z,2025-12-17T01:30:00Z,2025-12-17,4,26099,30124,1
2025-12-17T02:30:00Z,2025-12-17T02:00:00Z,2025-12-17,5,25318,30101,2
2025-12-17T03:00:00Z,2025-12-17T02:30:00Z,2025-12-17,6,24609,29427,2
2025-12-17T03:30:00Z,2025-12-17T03:00:00Z,2025-12-17,7,23921,28793,3
2025-12-17T04:00:00Z,2025-12-17T03:30:00Z,2025-12-17,8,23427,28291,3
2025-12-17T04:30:00Z,2025-12-17T04:00:00Z,2025-12-17,9,23120,28067,4
2025-12-17T05:00:00Z,2025-12-17T04:30:00Z,2025-12-17,10,22905,27844,4
2025-12-17T05:30:00Z,2025-12-17T05:00:00Z,2025-12-17,11,23267,28808,5
2025-12-17T06:00:00Z,2025-12-17T05:30:00Z,2025-12-17,12,24255,29773,5
2025-12-17T06:30:00Z,2025-12-17T06:00:00Z,2025-12-17,13,26838,31562,6
2025-12-17T07:00:00Z,2025-12-17T06:30:00Z,2025-12-17,14,29230,33921,6
2025-12-17T07:30:00Z,2025-12-17T07:00:00Z,2025-12-17,15,31500,35418,7
2025-12-17T08:00:00Z,2025-12-17T07:30:00Z,2025-12-17,16,33585,37341,7
2025-12-17T08:30:00Z,2025-12-17T08:00:00Z,2025-12-17,17,34431,38189,8
2025-12-17T09:00:00Z,2025-12-17T08:30:00Z,2025-12-17,18,34966,38716,8
2025-12-17T09:30:00Z,2025-12-17T09:00:00Z,2025-12-17,19,36024,40058,9
2025-12-17T10:00:00Z,2025-12-17T09:30:00Z,2025-12-17,20,36145,40338,9
2025-12-17T10:30:00Z,2025-12-17T10:00:00Z,2025-12-17,21,36541,40842,10
2025-12-17T11:00:00Z,2025-12-17T10:30:00Z,2025-12-17,22,36428,40889,10
2025-12-17T11:30:00Z,2025-12-17T11:00:00Z,2025-12-17,23,36549,41199,11
2025-12-17T12:00:00Z,2025-12-17T11:30:00Z,2025-12-17,24,36322,41111,11
2025-12-17T12:30:00Z,2025-12-17T12:00:00Z,2025-12-17,25,36643,41600,12
2025-12-17T13:00:00Z,2025-12-17T12:30:00Z,2025-12-17,26,36724,41757,12
2025-12-17T13:30:00Z,2025-12-17T13:00:00Z,2025-12-17,27,36296,41367,13
2025-12-17T14:00:00Z,2025-12-17T13:30:00Z,2025-12-17,28,36249,41339,13
2025-12-17T14:30:00Z,2025-12-17T14:00:00Z,2025-12-17,29,36262,41228,14
2025-12-17T15:00:00Z,2025-12-17T14:30:00Z,2025-12-17,30,36173,41258,14
2025-12-17T15:30:00Z,2025-12-17T15:00:00Z,2025-12-17,31,36283,41304,15
2025-12-17T16:00:00Z,2025-12-17T15:30:00Z,2025-12-17,32,37010,42081,15
2025-12-17T16:30:00Z,2025-12-17T16:00:00Z,2025-12-17,33,37556,42743,16
2025-12-17T17:00:00Z,2025-12-17T16:30:00Z,2025-12-17,34,38380,43776,16
2025-12-17T17:30:00Z,2025-12-17T17:00:00Z,2025-12-17,35,38717,43978,17
2025-12-17T18:00:00Z,2025-12-17T17:30:00Z,2025-12-17,36,38598,43818,17
2025-12-17T18:30:00Z,2025-12-17T18:00:00Z,2025-12-17,37,38644,42407,18
2025-12-17T19:00:00Z,2025-12-17T18:30:00Z,2025-12-17,38,37783,41364,18
2025-12-17T19:30:00Z,2025-12-17T19:00:00Z,2025-12-17,39,36833,39720,19
2025-12-17T20:00:00Z,2025-12-17T19:30:00Z,2025-12-17,40,35269,37903,19
2025-12-17T20:30:00Z,2025-12-17T20:00:00Z,2025-12-17,41,34418,36976,20
2025-12-17T21:00:00Z,2025-12-17T20:30:00Z,2025-12-17,42,32947,35217,20
2025-12-17T21:30:00Z,2025-12-17T21:00:00Z,2025-12-17,43,31339,33139,21
2025-12-17T22:00:00Z,2025-12-17T21:30:00Z,2025-12-17,44,29799,31519,21
2025-12-17T22:30:00Z,2025-12-17T22:00:00Z,2025-12-17,45,28245,30209,22
2025-12-17T23:00:00Z,2025-12-17T22:30:00Z,2025-12-17,46,26537,28371,22
2025-12-17T23:30:00Z,2025-12-17T23:00:00Z,2025-12-17,47,25046,28013,23
2025-12-18T00:00:00Z,2025-12-17T23:30:00Z,2025-12-17,48,24124,27672,23
