publishTime,startTime,settlementDate,settlementPeriod,initialDemandOutturn,initialTransmissionSystemDemandOutturn,hour
2025-12-18T00:30:00Z,2025-12-18T00:00:00Z,2025-12-18,1,24350,27891,0
2025-12-18T01:00:00Z,2025-12-18T00:30:00Z,2025-12-18,2,24968,28498,0
2025-12-18T01:30:00Z,2025-12-18T01:00:00Z,2025-12-18,3,24670,28364,1
2025-12-18T02:00:00Z,2025-12-18T01:30:00Z,2025-12-18,4,24321,28010,1
2025-12-18T02:30:00Z,2025-12-18T02:00:00Z,2025-12-18,5,23517,27671,2
2025-12-18T03:00:00Z,2025-12-18T02:30:00Z,2025-12-18,6,23207,27522,2
2025-12-18T03:30:00Z,2025-12-18T03:00:00Z,2025-12-18,7,22542,26551,3
2025-12-18T04:00:00Z,2025-12-18T03:30:00Z,2025-12-18,8,22457,26393,3
2025-12-18T04:30:00Z,2025-12-18T04:00:00Z,2025-12-18,9,22207,26851,4
2025-12-18T05:00:00Z,2025-12-18T04:30:00Z,2025-12-18,10,22062,26863,4
2025-12-18T05:30:00Z,2025-12-18T05:00:00Z,2025-12-18,11,22358,26483,5
2025-12-18T06:00:00Z,2025-12-18T05:30:00Z,2025-12-18,12,23220,27322,5
2025-12-18T06:30:00Z,2025-12-18T06:00:00Z,2025-12-18,13,25847,29653,6
2025-12-18T07:00:00Z,2025-12-18T06:30:00Z,2025-12-18,14,28481,31603,6
2025-12-18T07:30:00Z,2025-12-18T07:00:00Z,2025-12-18,15,31781,33453,7
2025-12-18T08:00:00Z,2025-12-18T07:30:00Z,2025-12-18,16,33289,35065,7
2025-12-18T08:30:00Z,2025-12-18T08:00:00Z,2025-12-18,17,34490,36107,8
2025-12-18T09:00:00Z,2025-12-18T08:30:00Z,2025-12-18,18,35086,36661,8
2025-12-18T09:30:00Z,2025-12-18T09:00:00Z,2025-12-18,19,36190,37550,9
2025-12-18T10:00:00Z,2025-12-18T09:30:00Z,2025-12-18,20,36563,37747,9
2025-12-18T10:30:00Z,2025-12-18T10:00:00Z,2025-12-18,21,37105,38247,10
2025-12-18T11:00:00Z,2025-12-18T10:30:00Z,2025-12-18,22,37236,38271,10
2025-12-18T11:30:00Z,2025-12-18T11:00:00Z,2025-12-18,23,36903,37931,11
2025-12-18T12:00:00Z,2025-12-18T11:30:00Z,2025-12-18,24,37227,38199,11
2025-12-18T12:30:00Z,2025-12-18T12:00:00Z,2025-12-18,25,37658,38793,12
2025-12-18T13:00:00Z,2025-12-18T12:30:00Z,2025-12-18,26,37954,39246,12
2025-12-18T13:30:00Z,2025-12-18T13:00:00Z,2025-12-18,27,37533,39156,13
2025-12-18T14:00:00Z,2025-12-18T13:30:00Z,2025-12-18,28,37467,39174,13
2025-12-18T14:30:00Z,2025-12-18T14:00:00Z,2025-12-18,29,37435,39303,14
2025-12-18T15:00:00Z,2025-12-18T14:30:00Z,2025-12-18,30,37313,39318,14
2025-12-18T15:30:00Z,2025-12-18T15:00:00Z,2025-12-18,31,37068,39024,15
2025-12-18T16:00:00Z,2025-12-18T15:30:00Z,2025-12-18,32,37840,39920,15
2025-12-18T16:30:00Z,2025-12-18T16:00:00Z,2025-12-18,33,38546,40655,16
2025-12-18T17:00:00Z,2025-12-18T16:30:00Z,2025-12-18,34,39022,41131,16
2025-12-18T17:30:00Z,2025-12-18T17:00:00Z,2025-12-18,35,39000,41108,17
2025-12-18T18:00:00Z,2025-12-18T17:30:00Z,2025-12-18,36,38391,40478,17
2025-12-18T18:30:00Z,2025-12-18T18:00:00Z,2025-12-18,37,38085,40040,18
2025-12-18T19:00:00Z,2025-12-18T18:30:00Z,2025-12-18,38,37019,38862,18
2025-12-18T19:30:00Z,2025-12-18T19:00:00Z,2025-12-18,39,35911,37715,19
2025-12-18T20:00:00Z,2025-12-18T19:30:00Z,2025-12-18,40,34585,36112,19
2025-12-18T20:30:00Z,2025-12-18T20:00:00Z,2025-12-18,41,33809,35365,20
2025-12-18T21:00:00Z,2025-12-18T20:30:00Z,2025-12-18,42,32851,34349,20
2025-12-18T21:30:00Z,2025-12-18T21:00:00Z,2025-12-18,43,31252,32502,21
2025-12-18T22:00:00Z,2025-12-18T21:30:00Z,2025-12-18,44,29781,31722,21
2025-12-18T22:30:00Z,2025-12-18T22:00:00Z,2025-12-18,45,28132,30416,22
2025-12-18T23:00:00Z,2025-12-18T22:30:00Z,2025-12-18,46,26753,29089,22
2025-12-18T23:30:00Z,2025-12-18T23:00:00Z,2025-12-18,47,25305,27644,23
2025-12-19T00:00:00Z,2025-12-18T23:30:00Z,2025-12-18,48,24471,26906,23
