publishTime,startTime,settlementDate,settlementPeriod,initialDemandOutturn,initialTransmissionSystemDemandOutturn,hour
2025-12-19T00:30:00Z,2025-12-19T00:00:00Z,2025-12-19,1,24519,26723,0
2025-12-19T01:00:00Z,2025-12-19T00:30:00Z,2025-12-19,2,25259,27285,0
2025-12-19T01:30:00Z,2025-12-19T01:00:00Z,2025-12-19,3,24885,26962,1
2025-12-19T02:00:00Z,2025-12-19T01:30:00Z,2025-12-19,4,24171,26201,1
2025-12-19T02:30:00Z,2025-12-19T02:00:00Z,2025-12-19,5,23416,25660,2
2025-12-19T03:00:00Z,2025-12-19T02:30:00Z,2025-12-19,6,22934,25234,2
2025-12-19T03:30:00Z,2025-12-19T03:00:00Z,2025-12-19,7,22108,24316,3
2025-12-19T04:00:00Z,2025-12-19T03:30:00Z,2025-12-19,8,21771,23873,3
2025-12-19T04:30:00Z,2025-12-19T04:00:00Z,2025-12-19,9,20943,23773,4
2025-12-19T05:00:00Z,2025-12-19T04:30:00Z,2025-12-19,10,20807,23690,4
2025-12-19T05:30:00Z,2025-12-19T05:00:00Z,2025-12-19,11,21076,25166,5
2025-12-19T06:00:00Z,2025-12-19T05:30:00Z,2025-12-19,12,21868,25954,5
2025-12-19T06:30:00Z,2025-12-19T06:00:00Z,2025-12-19,13,24312,27483,6
2025-12-19T07:00:00Z,2025-12-19T06:30:00Z,2025-12-19,14,26545,29440,6
2025-12-19T07:30:00Z,2025-12-19T07:00:00Z,2025-12-19,15,29183,31422,7
2025-12-19T08:00:00Z,2025-12-19T07:30:00Z,2025-12-19,16,31140,33539,7
2025-12-19T08:30:00Z,2025-12-19T08:00:00Z,2025-12-19,17,32934,34592,8
2025-12-19T09:00:00Z,2025-12-19T08:30:00Z,2025-12-19,18,33351,35047,8
2025-12-19T09:30:00Z,2025-12-19T09:00:00Z,2025-12-19,19,33619,35560,9
2025-12-19T10:00:00Z,2025-12-19T09:30:00Z,2025-12-19,20,33116,35133,9
2025-12-19T10:30:00Z,2025-12-19T10:00:00Z,2025-12-19,21,32170,34564,10
2025-12-19T11:00:00Z,2025-12-19T10:30:00Z,2025-12-19,22,31426,33904,10
2025-12-19T11:30:00Z,2025-12-19T11:00:00Z,2025-12-19,23,30494,33436,11
2025-12-19T12:00:00Z,2025-12-19T11:30:00Z,2025-12-19,24,30144,33129,11
2025-12-19T12:30:00Z,2025-12-19T12:00:00Z,2025-12-19,25,30111,33235,12
2025-12-19T13:00:00Z,2025-12-19T12:30:00Z,2025-12-19,26,29935,33084,12
2025-12-19T13:30:00Z,2025-12-19T13:00:00Z,2025-12-19,27,30351,32946,13
2025-12-19T14:00:00Z,2025-12-19T13:30:00Z,2025-12-19,28,30708,33400,13
2025-12-19T14:30:00Z,2025-12-19T14:00:00Z,2025-12-19,29,31398,34897,14
2025-12-19T15:00:00Z,2025-12-19T14:30:00Z,2025-12-19,30,31979,35643,14
2025-12-19T15:30:00Z,2025-12-19T15:00:00Z,2025-12-19,31,33297,37055,15
2025-12-19T16:00:00Z,2025-12-19T15:30:00Z,2025-12-19,32,34290,38052,15
2025-12-19T16:30:00Z,2025-12-19T16:00:00Z,2025-12-19,33,35960,38914,16
2025-12-19T17:00:00Z,2025-12-19T16:30:00Z,2025-12-19,34,36748,39663,16
