period,price
23:00 - 00:00,4.93
00:00 - 01:00,1.94
01:00 - 02:00,1.0
02:00 - 03:00,0.51
03:00 - 04:00,0.11
04:00 - 05:00,0.01
05:00 - 06:00,0.3
06:00 - 07:00,4.8
07:00 - 08:00,10.61
08:00 - 09:00,18.41
09:00 - 10:00,15.24
10:00 - 11:00,11.67
11:00 - 12:00,4.99
12:00 - 13:00,3.68
13:00 - 14:00,3.18
14:00 - 15:00,4.76
15:00 - 16:00,7.63
16:00 - 17:00,30.15
17:00 - 18:00,61.9
18:00 - 19:00,67.98
19:00 - 20:00,53.02
20:00 - 21:00,31.93
21:00 - 22:00,25.64
22:00 - 23:00,13.84
