period,price
23:00 - 00:00,68.6
00:00 - 01:00,62.83
01:00 - 02:00,57.45
02:00 - 03:00,56.88
03:00 - 04:00,58.01
04:00 - 05:00,62.62
05:00 - 06:00,74.64
06:00 - 07:00,89.92
07:00 - 08:00,91.6
08:00 - 09:00,93.8
09:00 - 10:00,92.69
10:00 - 11:00,85.97
11:00 - 12:00,81.38
12:00 - 13:00,74.8
13:00 - 14:00,69.28
14:00 - 15:00,75.64
15:00 - 16:00,85.25
16:00 - 17:00,88.37
17:00 - 18:00,92.52
18:00 - 19:00,80.64
19:00 - 20:00,80.0
20:00 - 21:00,70.01
21:00 - 22:00,53.65
22:00 - 23:00,28.29
