period,price
23:00 - 00:00,68.01
00:00 - 01:00,69.64
01:00 - 02:00,71.01
02:00 - 03:00,74.99
03:00 - 04:00,75.34
04:00 - 05:00,76.92
05:00 - 06:00,77.59
06:00 - 07:00,78.49
07:00 - 08:00,78.86
08:00 - 09:00,81.04
09:00 - 10:00,84.66
10:00 - 11:00,88.29
11:00 - 12:00,86.75
12:00 - 13:00,85.84
13:00 - 14:00,81.99
14:00 - 15:00,82.25
15:00 - 16:00,85.92
16:00 - 17:00,92.18
17:00 - 18:00,94.08
18:00 - 19:00,90.09
19:00 - 20:00,84.66
20:00 - 21:00,78.0
21:00 - 22:00,79.79
22:00 - 23:00,69.01
