period,price
23:00 - 00:00,84.72
00:00 - 01:00,79.15
01:00 - 02:00,80.78
02:00 - 03:00,76.82
03:00 - 04:00,74.34
04:00 - 05:00,73.06
05:00 - 06:00,75.92
06:00 - 07:00,80.45
07:00 - 08:00,84.02
08:00 - 09:00,85.77
09:00 - 10:00,92.01
10:00 - 11:00,87.48
11:00 - 12:00,77.96
12:00 - 13:00,73.19
13:00 - 14:00,73.21
14:00 - 15:00,74.9
15:00 - 16:00,80.66
16:00 - 17:00,88.49
17:00 - 18:00,109.94
18:00 - 19:00,117.67
19:00 - 20:00,111.05
20:00 - 21:00,101.23
21:00 - 22:00,88.42
22:00 - 23:00,77.9
