period,price
23:00 - 00:00,17.22
00:00 - 01:00,14.22
01:00 - 02:00,10.37
02:00 - 03:00,9.18
03:00 - 04:00,5.35
04:00 - 05:00,8.1
05:00 - 06:00,15.88
06:00 - 07:00,49.94
07:00 - 08:00,73.89
08:00 - 09:00,79.04
09:00 - 10:00,75.54
10:00 - 11:00,73.69
11:00 - 12:00,75.12
12:00 - 13:00,81.12
13:00 - 14:00,78.12
14:00 - 15:00,82.56
15:00 - 16:00,83.42
16:00 - 17:00,92.7
17:00 - 18:00,95.13
18:00 - 19:00,89.69
19:00 - 20:00,83.19
20:00 - 21:00,77.18
21:00 - 22:00,78.74
22:00 - 23:00,69.7
