period,price
23:00 - 00:00,59.97
00:00 - 01:00,60.66
01:00 - 02:00,59.57
02:00 - 03:00,53.08
03:00 - 04:00,49.19
04:00 - 05:00,48.55
05:00 - 06:00,49.23
06:00 - 07:00,54.59
07:00 - 08:00,66.25
08:00 - 09:00,71.0
09:00 - 10:00,73.1
10:00 - 11:00,69.01
11:00 - 12:00,79.19
12:00 - 13:00,78.16
13:00 - 14:00,76.01
14:00 - 15:00,81.99
15:00 - 16:00,87.59
16:00 - 17:00,100.6
17:00 - 18:00,103.97
18:00 - 19:00,94.85
19:00 - 20:00,84.93
20:00 - 21:00,78.15
21:00 - 22:00,77.51
22:00 - 23:00,64.46
