period,price
23:00 - 00:00,56.45
00:00 - 01:00,52.15
01:00 - 02:00,47.81
02:00 - 03:00,45.79
03:00 - 04:00,47.09
04:00 - 05:00,52.3
05:00 - 06:00,64.36
06:00 - 07:00,77.94
07:00 - 08:00,81.03
08:00 - 09:00,85.29
09:00 - 10:00,77.68
10:00 - 11:00,71.6
11:00 - 12:00,72.08
12:00 - 13:00,76.57
13:00 - 14:00,79.95
14:00 - 15:00,82.13
15:00 - 16:00,84.9
16:00 - 17:00,97.96
17:00 - 18:00,104.56
18:00 - 19:00,105.2
19:00 - 20:00,94.93
20:00 - 21:00,83.3
21:00 - 22:00,82.37
22:00 - 23:00,77.78
