period,price
23:00 - 00:00,55.71
00:00 - 01:00,54.0
01:00 - 02:00,49.02
02:00 - 03:00,45.88
03:00 - 04:00,45.04
04:00 - 05:00,44.0
05:00 - 06:00,49.78
06:00 - 07:00,74.56
07:00 - 08:00,75.45
08:00 - 09:00,71.14
09:00 - 10:00,71.77
10:00 - 11:00,74.22
11:00 - 12:00,76.99
12:00 - 13:00,79.99
13:00 - 14:00,79.99
14:00 - 15:00,79.24
15:00 - 16:00,82.71
16:00 - 17:00,94.81
17:00 - 18:00,95.37
18:00 - 19:00,83.11
19:00 - 20:00,75.04
20:00 - 21:00,74.98
21:00 - 22:00,72.48
22:00 - 23:00,54.13
